,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,51,1:43:44.291,25
7,2,Kimi Räikkönen,Ferrari,51,+2.460s,18
11,3,Sergio Perez,Force India Mercedes,51,+4.024s,15
5,4,Sebastian Vettel,Ferrari,51,+5.329s,12
55,5,Carlos Sainz,Renault,51,+7.515s,10
16,6,Charles Leclerc,Sauber Ferrari,51,+9.158s,8
14,7,Fernando Alonso,McLaren Renault,51,+10.931s,6
18,8,Lance Stroll,Williams Mercedes,51,+12.546s,4
2,9,Stoffel Vandoorne,McLaren Renault,51,+14.152s,2
28,10,Brendon Hartley,Scuderia Toro Rosso Honda,51,+18.030s,1
9,11,Marcus Ericsson,Sauber Ferrari,51,+18.512s,0
10,12,Pierre Gasly,Scuderia Toro Rosso Honda,51,+24.720s,0
20,13,Kevin Magnussen,Haas Ferrari,51,+40.663s,0
77,14,Valtteri Bottas,Mercedes,48,DNF,0
8,NC,Romain Grosjean,Haas Ferrari,42,DNF,0
33,NC,Max Verstappen,Red Bull Racing TAG Heuer,39,DNF,0
3,NC,Daniel Ricciardo,Red Bull Racing TAG Heuer,39,DNF,0
27,NC,Nico Hulkenberg,Renault,10,DNF,0
31,NC,Esteban Ocon,Force India Mercedes,0,DNF,0
35,NC,Sergey Sirotkin,Williams Mercedes,0,DNF,0
