,Position,Driver,Car,Q1,Q2,Q3,Laps
6,1,Nico Rosberg,Mercedes,1:45.316,1:43.020,1:42.584,12
3,2,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:44.255,1:43.933,1:43.115,12
44,3,Lewis Hamilton,Mercedes,1:45.167,1:43.471,1:43.288,12
33,4,Max Verstappen,Red Bull Racing TAG Heuer,1:45.036,1:44.112,1:43.328,12
7,5,Kimi Räikkönen,Ferrari,1:44.964,1:44.159,1:43.540,12
55,6,Carlos Sainz,Toro Rosso Ferrari,1:45.499,1:44.493,1:44.197,14
26,7,Daniil Kvyat,Toro Rosso Ferrari,1:45.291,1:44.475,1:44.469,15
27,8,Nico Hulkenberg,Force India Mercedes,1:46.081,1:44.737,1:44.479,17
14,9,Fernando Alonso,McLaren Honda,1:45.373,1:44.653,1:44.553,15
11,10,Sergio Perez,Force India Mercedes,1:45.204,1:44.703,1:44.582,20
77,11,Valtteri Bottas,Williams Mercedes,1:46.086,1:44.740,,11
19,12,Felipe Massa,Williams Mercedes,1:46.056,1:44.991,,11
22,13,Jenson Button,McLaren Honda,1:45.262,1:45.144,,13
21,14,Esteban Gutierrez ,Haas Ferrari,1:45.465,1:45.593,,12
8,15,Romain Grosjean,Haas Ferrari,1:45.609,1:45.723,,11
9,16,Marcus Ericsson,Sauber Ferrari,1:46.427,1:47.827,,12
20,17,Kevin Magnussen,Renault,1:46.825,,,9
12,18,Felipe Nasr,Sauber Ferrari,1:46.860,,,8
30,19,Jolyon Palmer,Renault,1:46.960,,,9
94,20,Pascal Wehrlein,MRT Mercedes,1:47.667,,,8
31,21,Esteban Ocon,MRT Mercedes,1:48.296,,,9
5,22,Sebastian Vettel,Ferrari,1:49.116,,,4
