,Position,Driver,Car,Time / Gap,Laps
6,1,Nico Rosberg,Mercedes,1:44.352,15
33,2,Max Verstappen,Red Bull Racing TAG Heuer,+0.059s,15
7,3,Kimi Räikkönen,Ferrari,+0.508s,15
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,+0.551s,12
5,5,Sebastian Vettel,Ferrari,+0.752s,13
27,6,Nico Hulkenberg,Force India Mercedes,+0.964s,13
26,7,Daniil Kvyat,Toro Rosso Ferrari,+1.151s,19
44,8,Lewis Hamilton,Mercedes,+1.454s,9
55,9,Carlos Sainz,Toro Rosso Ferrari,+1.527s,17
77,10,Valtteri Bottas,Williams Mercedes,+1.595s,16
11,11,Sergio Perez,Force India Mercedes,+1.760s,15
14,12,Fernando Alonso,McLaren Honda,+1.812s,13
21,13,Esteban Gutierrez ,Haas Ferrari,+1.964s,16
19,14,Felipe Massa,Williams Mercedes,+2.177s,17
20,15,Kevin Magnussen,Renault,+2.764s,11
22,16,Jenson Button,McLaren Honda,+2.925s,16
12,17,Felipe Nasr,Sauber Ferrari,+2.941s,18
8,18,Romain Grosjean,Haas Ferrari,+3.059s,20
9,19,Marcus Ericsson,Sauber Ferrari,+3.604s,20
30,20,Jolyon Palmer,Renault,+4.337s,13
94,21,Pascal Wehrlein,MRT Mercedes,+4.849s,10
31,22,Esteban Ocon,MRT Mercedes,+5.213s,14
