,Position,Driver,Car,Lap,Time
3,1,Jean Alesi,Benetton Renault,65,1:29.413
5,2,Damon Hill,Williams Renault,44,1:29.653
4,3,Gerhard Berger,Benetton Renault,43,1:30.104
6,4,Jacques Villeneuve,Williams Renault,64,1:30.163
1,5,Michael Schumacher,Ferrari,23,1:30.659
15,6,Heinz-Harald Frentzen,Sauber Ford,23,1:31.005
17,7,Jos Verstappen,Footwork Hart,66,1:31.099
9,8,Olivier Panis,Ligier Mugen Honda,60,1:31.343
2,9,Eddie Irvine,Ferrari,65,1:31.372
18,10,Ukyo Katayama,Tyrrell Yamaha,18,1:31.396
8,11,David Coulthard,McLaren Mercedes,46,1:31.408
11,12,Rubens Barrichello,Jordan Peugeot,50,1:31.443
14,13,Johnny Herbert,Sauber Ford,44,1:31.930
19,14,Mika Salo,Tyrrell Yamaha,34,1:31.930
7,15,Mika Hakkinen,McLaren Mercedes,17,1:32.369
12,16,Martin Brundle,Jordan Peugeot,20,1:32.668
10,17,Pedro Diniz,Ligier Mugen Honda,24,1:32.882
21,18,Tarso Marques,Minardi Ford,29,1:32.925
20,19,Pedro Lamy,Minardi Ford,21,1:32.958
16,20,Ricardo Rosset,Footwork Hart,20,1:33.606
23,21,Andrea Montermini,Forti Ford,68,1:34.592
22,22,Luca Badoer,Forti Ford,20,1:35.893
