,Position,Driver,Car,Time / Gap,Laps
1,1,Michael Schumacher,Ferrari,1:30.018,19
5,2,Damon Hill,Williams Renault,+0.366s,19
7,3,Mika Hakkinen,McLaren Mercedes,+1.117s,20
17,4,Jos Verstappen,Footwork Hart,+1.140s,18
11,5,Rubens Barrichello,Jordan Peugeot,+1.178s,23
3,6,Jean Alesi,Benetton Renault,+1.178s,17
2,7,Eddie Irvine,Ferrari,+1.443s,18
15,8,Heinz-Harald Frentzen,Sauber Ford,+1.853s,23
8,9,David Coulthard,McLaren Mercedes,+1.861s,19
6,10,Jacques Villeneuve,Williams Renault,+1.965s,13
12,11,Martin Brundle,Jordan Peugeot,+2.298s,23
19,12,Mika Salo,Tyrrell Yamaha,+2.386s,12
20,13,Pedro Lamy,Minardi Ford,+2.436s,23
4,14,Gerhard Berger,Benetton Renault,+2.524s,22
14,15,Johnny Herbert,Sauber Ford,+2.752s,19
9,16,Olivier Panis,Ligier Mugen Honda,+3.217s,9
18,17,Ukyo Katayama,Tyrrell Yamaha,+3.489s,17
21,18,Tarso Marques,Minardi Ford,+3.797s,23
16,19,Ricardo Rosset,Footwork Hart,+3.957s,25
10,20,Pedro Diniz,Ligier Mugen Honda,+4.873s,22
22,21,Luca Badoer,Forti Ford,+5.169s,24
23,22,Andrea Montermini,Forti Ford,+5.497s,23
