,Position,Driver,Car,Time,Laps
5,1,Damon Hill,Williams Renault,1:30.346,12
1,2,Michael Schumacher,Ferrari,1:30.598,11
6,3,Jacques Villeneuve,Williams Renault,1:30.907,12
3,4,Jean Alesi,Benetton Renault,1:31.038,6
4,5,Gerhard Berger,Benetton Renault,1:31.262,11
11,6,Rubens Barrichello,Jordan Peugeot,1:31.404,12
17,7,Jos Verstappen,Footwork Hart,1:31.615,7
7,8,Mika Hakkinen,McLaren Mercedes,1:31.801,11
8,9,David Coulthard,McLaren Mercedes,1:32.001,12
2,10,Eddie Irvine,Ferrari,1:32.058,11
15,11,Heinz-Harald Frentzen,Sauber Ford,1:32.130,12
9,12,Olivier Panis,Ligier Mugen Honda,1:32.177,11
18,13,Ukyo Katayama,Tyrrell Yamaha,1:32.407,12
21,14,Tarso Marques,Minardi Ford,1:32.502,11
12,15,Martin Brundle,Jordan Peugeot,1:32.696,12
19,16,Mika Salo,Tyrrell Yamaha,1:32.903,10
14,17,Johnny Herbert,Sauber Ford,1:33.256,10
10,18,Pedro Diniz,Ligier Mugen Honda,1:33.424,12
20,19,Pedro Lamy,Minardi Ford,1:33.727,12
16,20,Ricardo Rosset,Footwork Hart,1:33.752,11
22,21,Luca Badoer,Forti Ford,1:34.830,11
23,22,Andrea Montermini,Forti Ford,1:35.651,11
