,Position,Driver,Car,Time
33,1,Max Verstappen,Red Bull Racing Honda,1:03.841
44,2,Lewis Hamilton,Mercedes,1:04.067
4,3,Lando Norris,McLaren Mercedes,1:04.120
11,4,Sergio Perez,Red Bull Racing Honda,1:04.168
77,5,Valtteri Bottas,Mercedes,1:04.035
10,6,Pierre Gasly,AlphaTauri Honda,1:04.236
16,7,Charles Leclerc,Ferrari,1:04.472
14,8,Fernando Alonso,Alpine Renault,1:04.574
18,9,Lance Stroll,Aston Martin Mercedes,1:04.708
63,10,George Russell,Williams Mercedes,1:04.671
22,11,Yuki Tsunoda,AlphaTauri Honda,1:04.514
55,12,Carlos Sainz,Ferrari,1:04.800
3,13,Daniel Ricciardo,McLaren Mercedes,1:04.808
5,14,Sebastian Vettel,Aston Martin Mercedes,1:04.875
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:04.913
6,16,Nicholas Latifi,Williams Mercedes,1:05.175
31,17,Esteban Ocon,Alpine Renault,1:05.217
7,18,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:05.429
47,19,Mick Schumacher,Haas Ferrari,1:06.041
9,20,Nikita Mazepin,Haas Ferrari,1:06.192
