,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:04.369,19
33,2,Max Verstappen,Red Bull Racing Honda,+0.204s,16
77,3,Valtteri Bottas,Mercedes,+0.463s,25
11,4,Sergio Perez,Red Bull Racing Honda,+0.657s,21
22,5,Yuki Tsunoda,AlphaTauri Honda,+0.781s,23
10,6,Pierre Gasly,AlphaTauri Honda,+0.929s,22
16,7,Charles Leclerc,Ferrari,+0.971s,21
14,8,Fernando Alonso,Alpine Renault,+1.031s,24
18,9,Lance Stroll,Aston Martin Mercedes,+1.076s,18
5,10,Sebastian Vettel,Aston Martin Mercedes,+1.123s,20
99,11,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.187s,24
31,12,Esteban Ocon,Alpine Renault,+1.307s,22
55,13,Carlos Sainz,Ferrari,+1.329s,22
63,14,George Russell,Williams Mercedes,+1.494s,23
7,15,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.573s,25
47,16,Mick Schumacher,Haas Ferrari,+1.623s,24
3,17,Daniel Ricciardo,McLaren Mercedes,+1.747s,20
6,18,Nicholas Latifi,Williams Mercedes,+1.750s,22
4,19,Lando Norris,McLaren Mercedes,+2.285s,19
9,20,Nikita Mazepin,Haas Ferrari,+2.323s,22
