,Position,Driver,Car,Laps,Time,Points
33,1,Max Verstappen,Red Bull Racing Honda,71,1:22:18.925,25
44,2,Lewis Hamilton,Mercedes,71,+35.743s,19
77,3,Valtteri Bottas,Mercedes,71,+46.907s,15
11,4,Sergio Perez,Red Bull Racing Honda,71,+47.434s,12
4,5,Lando Norris,McLaren Mercedes,70,+1 lap,10
55,6,Carlos Sainz,Ferrari,70,+1 lap,8
16,7,Charles Leclerc,Ferrari,70,+1 lap,6
18,8,Lance Stroll,Aston Martin Mercedes,70,+1 lap,4
14,9,Fernando Alonso,Alpine Renault,70,+1 lap,2
22,10,Yuki Tsunoda,AlphaTauri Honda,70,+1 lap,1
7,11,Kimi Räikkönen,Alfa Romeo Racing Ferrari,70,+1 lap,0
5,12,Sebastian Vettel,Aston Martin Mercedes,70,+1 lap,0
3,13,Daniel Ricciardo,McLaren Mercedes,70,+1 lap,0
31,14,Esteban Ocon,Alpine Renault,70,+1 lap,0
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,70,+1 lap,0
47,16,Mick Schumacher,Haas Ferrari,69,+2 laps,0
6,17,Nicholas Latifi,Williams Mercedes,68,+3 laps,0
9,18,Nikita Mazepin,Haas Ferrari,68,+3 laps,0
63,NC,George Russell,Williams Mercedes,36,DNF,0
10,NC,Pierre Gasly,AlphaTauri Honda,1,DNF,0
