,Position,Driver,Car,Time / Gap,Laps
33,1,Max Verstappen,Red Bull Racing Honda,1:05.412,37
3,2,Daniel Ricciardo,McLaren Mercedes,+0.336s,35
31,3,Esteban Ocon,Alpine Renault,+0.378s,35
44,4,Lewis Hamilton,Mercedes,+0.384s,35
14,5,Fernando Alonso,Alpine Renault,+0.415s,39
5,6,Sebastian Vettel,Aston Martin Mercedes,+0.522s,38
4,7,Lando Norris,McLaren Mercedes,+0.582s,39
18,8,Lance Stroll,Aston Martin Mercedes,+0.667s,36
11,9,Sergio Perez,Red Bull Racing Honda,+0.677s,36
99,10,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+0.733s,37
55,11,Carlos Sainz,Ferrari,+0.735s,39
77,12,Valtteri Bottas,Mercedes,+0.839s,32
16,13,Charles Leclerc,Ferrari,+0.858s,39
7,14,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+0.885s,41
22,15,Yuki Tsunoda,AlphaTauri Honda,+1.039s,39
63,16,George Russell,Williams Mercedes,+1.216s,39
47,17,Mick Schumacher,Haas Ferrari,+1.474s,29
9,18,Nikita Mazepin,Haas Ferrari,+1.992s,30
6,19,Nicholas Latifi,Williams Mercedes,+2.257s,32
