,Position,Driver,Car,Lap,Time,Avg Speed
8,1,Mika Hakkinen,McLaren Mercedes,25,1:24.275,201.967
3,2,Michael Schumacher,Ferrari,45,1:24.625,201.132
7,3,David Coulthard,McLaren Mercedes,61,1:24.778,200.769
6,4,Alexander Wurz,Benetton Playlife,43,1:25.343,199.439
14,5,Jean Alesi,Sauber Petronas,31,1:25.668,198.683
4,6,Eddie Irvine,Ferrari,20,1:25.778,198.428
5,7,Giancarlo Fisichella,Benetton Playlife,18,1:25.851,198.259
2,8,Heinz-Harald Frentzen,Williams Mecachrome,3,1:26.011,197.890
15,9,Johnny Herbert,Sauber Petronas,25,1:26.354,197.104
12,10,Jarno Trulli,Prost Peugeot,25,1:26.394,197.013
1,11,Jacques Villeneuve,Williams Mecachrome,24,1:26.407,196.984
9,12,Damon Hill,Jordan Mugen Honda,37,1:26.501,196.769
11,13,Olivier Panis,Prost Peugeot,57,1:26.502,196.767
18,14,Rubens Barrichello,Stewart Ford,23,1:26.532,196.699
10,15,Ralf Schumacher,Jordan Mugen Honda,40,1:26.533,196.697
19,16,Jan Magnussen,Stewart Ford,43,1:27.203,195.185
23,17,Esteban Tuero,Minardi Ford,45,1:27.601,194.299
16,18,Pedro Diniz,Arrows,16,1:27.638,194.217
17,19,Mika Salo,Arrows,22,1:27.767,193.931
22,20,Shinji Nakano,Minardi Ford,25,1:27.767,193.931
21,21,Toranosuke Takagi,Tyrrell Ford,34,1:28.066,193.273
