,Position,Driver,Car,Time,Laps
8,1,Mika Hakkinen,McLaren Mercedes,1:20.262,11
7,2,David Coulthard,McLaren Mercedes,1:20.996,12
3,3,Michael Schumacher,Ferrari,1:21.785,11
5,4,Giancarlo Fisichella,Benetton Playlife,1:21.894,11
6,5,Alexander Wurz,Benetton Playlife,1:21.965,12
4,6,Eddie Irvine,Ferrari,1:22.350,12
15,7,Johnny Herbert,Sauber Petronas,1:22.794,9
9,8,Damon Hill,Jordan Mugen Honda,1:22.835,11
18,9,Rubens Barrichello,Stewart Ford,1:22.860,12
1,10,Jacques Villeneuve,Williams Mecachrome,1:22.885,10
10,11,Ralf Schumacher,Jordan Mugen Honda,1:22.927,12
11,12,Olivier Panis,Prost Peugeot,1:22.963,12
2,13,Heinz-Harald Frentzen,Williams Mecachrome,1:23.197,11
14,14,Jean Alesi,Sauber Petronas,1:23.327,11
16,15,Pedro Diniz,Arrows,1:23.704,12
12,16,Jarno Trulli,Prost Peugeot,1:23.748,12
17,17,Mika Salo,Arrows,1:23.887,12
19,18,Jan Magnussen,Stewart Ford,1:24.112,12
23,19,Esteban Tuero,Minardi Ford,1:24.265,12
22,20,Shinji Nakano,Minardi Ford,1:24.538,12
21,21,Toranosuke Takagi,Tyrrell Ford,1:24.722,12
20,NC,Ricardo Rosset,Tyrrell Ford,1:25.946,12
