,Position,Driver,Car,Time
5,1,Michael Schumacher,Ferrari,1:14.672
3,2,Jacques Villeneuve,Williams Renault,1:14.859
1,3,Damon Hill,Arrows Yamaha,1:15.044
9,4,Mika Hakkinen,McLaren Mercedes,1:15.140
6,5,Eddie Irvine,Ferrari,1:15.424
4,6,Heinz-Harald Frentzen,Williams Renault,1:15.520
8,7,Gerhard Berger,Benetton Renault,1:15.699
10,8,David Coulthard,McLaren Mercedes,1:15.705
7,9,Jean Alesi,Benetton Renault,1:15.905
16,10,Johnny Herbert,Sauber Petronas,1:16.138
22,11,Rubens Barrichello,Stewart Ford,1:16.138
14,12,Jarno Trulli,Prost Mugen Honda,1:16.297
12,13,Giancarlo Fisichella,Jordan Peugeot,1:16.300
11,14,Ralf Schumacher,Jordan Peugeot,1:16.686
17,15,Gianni Morbidelli,Sauber Petronas,1:16.766
15,16,Shinji Nakano,Prost Mugen Honda,1:16.784
23,17,Jan Magnussen,Stewart Ford,1:16.858
18,18,Jos Verstappen,Tyrrell Ford,1:17.095
2,19,Pedro Diniz,Arrows Yamaha,1:17.118
20,20,Ukyo Katayama,Minardi Hart,1:17.232
19,21,Mika Salo,Tyrrell Ford,1:17.482
21,22,Tarso Marques,Minardi Hart,1:18.020
