,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Kimi Räikkönen,Ferrari,14,1:45.599,172.740
2,2,Felipe Massa,Ferrari,13,1:45.757,172.482
5,3,Fernando Alonso,Renault,55,1:45.768,172.464
22,4,Lewis Hamilton,McLaren Mercedes,14,1:46.072,171.969
7,5,Nico Rosberg,Williams Toyota,39,1:46.454,171.352
4,6,Robert Kubica,Sauber BMW,14,1:46.899,170.639
11,7,Jarno Trulli,Toyota,32,1:46.972,170.523
12,8,Timo Glock,Toyota,50,1:47.044,170.408
15,9,Sebastian Vettel,STR Ferrari,13,1:47.271,170.047
8,10,Kazuki Nakajima,Williams Toyota,13,1:47.287,170.022
3,11,Nick Heidfeld,Sauber BMW,14,1:47.306,169.992
23,12,Heikki Kovalainen,McLaren Mercedes,14,1:47.337,169.943
9,13,David Coulthard,Red Bull Renault,41,1:47.562,169.587
14,14,Sebastien Bourdais,STR Ferrari,29,1:47.820,169.181
16,15,Jenson Button,Honda,61,1:48.128,168.700
21,16,Giancarlo Fisichella,Force India Ferrari,28,1:49.101,167.195
10,17,Mark Webber,Red Bull Renault,13,1:49.183,167.069
20,18,Adrian Sutil,Force India Ferrari,38,1:49.270,166.936
17,19,Rubens Barrichello,Honda,13,1:50.320,165.348
6,20,Nelson Piquet,Renault,13,1:50.449,165.154
