,Position,Driver,Car,Time / Gap,Laps
5,1,Fernando Alonso,Renault,1:44.506,19
22,2,Lewis Hamilton,McLaren Mercedes,+0.613s,13
2,3,Felipe Massa,Ferrari,+0.740s,16
6,4,Nelson Piquet,Renault,+0.743s,18
7,5,Nico Rosberg,Williams Toyota,+0.880s,17
16,6,Jenson Button,Honda,+0.903s,20
4,7,Robert Kubica,Sauber BMW,+0.919s,17
10,8,Mark Webber,Red Bull Renault,+0.944s,21
15,9,Sebastian Vettel,STR Ferrari,+0.971s,19
14,10,Sebastien Bourdais,STR Ferrari,+1.093s,18
3,11,Nick Heidfeld,Sauber BMW,+1.183s,19
8,12,Kazuki Nakajima,Williams Toyota,+1.476s,18
23,13,Heikki Kovalainen,McLaren Mercedes,+1.476s,13
17,14,Rubens Barrichello,Honda,+1.567s,21
12,15,Timo Glock,Toyota,+1.674s,23
11,16,Jarno Trulli,Toyota,+1.715s,19
1,17,Kimi Räikkönen,Ferrari,+1.976s,10
9,18,David Coulthard,Red Bull Renault,+2.288s,6
21,19,Giancarlo Fisichella,Force India Ferrari,+2.660s,14
20,20,Adrian Sutil,Force India Ferrari,+3.221s,19
