,Position,Driver,Car,Q1,Q2,Q3,Laps
2,1,Felipe Massa,Ferrari,1:44.519,1:44.014,1:44.801,16
22,2,Lewis Hamilton,McLaren Mercedes,1:44.501,1:44.932,1:45.465,14
1,3,Kimi Räikkönen,Ferrari,1:44.282,1:44.232,1:45.617,16
4,4,Robert Kubica,Sauber BMW,1:44.740,1:44.519,1:45.779,18
23,5,Heikki Kovalainen,McLaren Mercedes,1:44.311,1:44.207,1:45.873,19
3,6,Nick Heidfeld,Sauber BMW,1:45.548,1:44.520,1:45.964,19
15,7,Sebastian Vettel,STR Ferrari,1:45.042,1:44.261,1:46.244,15
12,8,Timo Glock,Toyota,1:45.184,1:44.441,1:46.328,21
7,9,Nico Rosberg,Williams Toyota,1:45.103,1:44.429,1:46.611,17
8,10,Kazuki Nakajima,Williams Toyota,1:45.127,1:44.826,1:47.547,20
11,11,Jarno Trulli,Toyota,1:45.642,1:45.038,,12
16,12,Jenson Button,Honda,1:45.660,1:45.133,,14
10,13,Mark Webber,Red Bull Renault,1:45.493,1:45.212,,12
9,14,David Coulthard,Red Bull Renault,1:46.028,1:45.298,,16
5,15,Fernando Alonso,Renault,1:44.971,DNS,,6
6,16,Nelson Piquet,Renault,1:46.037,,,6
14,17,Sebastien Bourdais,STR Ferrari,1:46.389,,,6
17,18,Rubens Barrichello,Honda,1:46.583,,,7
20,19,Adrian Sutil,Force India Ferrari,1:47.940,,,10
21,20,Giancarlo Fisichella,Force India Ferrari,DNF,,,2
