,Position,Driver,Car,Time / Gap,Laps
63,1,George Russell,Mercedes,1:18.399,22
44,2,Lewis Hamilton,Mercedes,+0.144s,23
1,3,Max Verstappen,Red Bull Racing RBPT,+0.477s,18
16,4,Charles Leclerc,Ferrari,+0.724s,23
11,5,Sergio Perez,Red Bull Racing RBPT,+0.842s,24
55,6,Carlos Sainz,Ferrari,+0.902s,20
4,7,Lando Norris,McLaren Mercedes,+0.918s,22
77,8,Valtteri Bottas,Alfa Romeo Ferrari,+0.991s,28
22,9,Yuki Tsunoda,AlphaTauri RBPT,+1.483s,24
23,10,Alexander Albon,Williams Mercedes,+1.518s,18
31,11,Esteban Ocon,Alpine Renault,+1.561s,19
24,12,Guanyu Zhou,Alfa Romeo Ferrari,+1.620s,25
14,13,Fernando Alonso,Alpine Renault,+1.638s,16
3,14,Daniel Ricciardo,McLaren Mercedes,+1.740s,22
10,15,Pierre Gasly,AlphaTauri RBPT,+1.931s,24
18,16,Lance Stroll,Aston Martin Aramco Mercedes,+2.078s,20
47,17,Mick Schumacher,Haas Ferrari,+2.199s,24
6,18,Nicholas Latifi,Williams Mercedes,+2.449s,21
5,19,Sebastian Vettel,Aston Martin Aramco Mercedes,+2.587s,22
20,20,Kevin Magnussen,Haas Ferrari,+2.872s,25
