,Position,Driver,Car,Time,Laps
2,1,Rubens Barrichello,Ferrari,1:31.713,3
3,2,Juan Pablo Montoya,Williams BMW,1:32.412,3
21,3,Cristiano da Matta,Toyota,1:32.419,3
20,4,Olivier Panis,Toyota,1:32.862,3
8,5,Fernando Alonso,Renault,1:33.044,3
14,6,Mark Webber,Jaguar Cosworth,1:33.106,3
5,7,David Coulthard,McLaren Mercedes,1:33.137,3
6,8,Kimi Räikkönen,McLaren Mercedes,1:33.272,3
17,9,Jenson Button,BAR Honda,1:33.474,3
15,10,Justin Wilson,Jaguar Cosworth,1:33.558,3
9,11,Nick Heidfeld,Sauber Petronas,1:33.632,3
10,12,Heinz-Harald Frentzen,Sauber Petronas,1:33.896,3
16,13,Takuma Sato,BAR Honda,1:33.924,3
1,14,Michael Schumacher,Ferrari,1:34.302,3
12,15,Ralph Firman,Jordan Ford,1:34.771,3
11,16,Giancarlo Fisichella,Jordan Ford,1:34.912,3
19,17,Jos Verstappen,Minardi Cosworth,1:34.975,3
18,18,Nicolas Kiesa,Minardi Cosworth,1:37.226,3
4,19,Ralf Schumacher,Williams BMW,,2
7,20,Jarno Trulli,Renault,,1
