,Position,Driver,Car,Lap,Time
1,1,Michael Schumacher,Benetton Renault,51,1:20.218
5,2,Damon Hill,Williams Renault,9,1:20.635
25,3,Martin Brundle,Ligier Mugen Honda,60,1:21.005
6,4,David Coulthard,Williams Renault,71,1:21.235
27,5,Jean Alesi,Ferrari,51,1:21.360
26,6,Olivier Panis,Ligier Mugen Honda,7,1:21.398
14,7,Rubens Barrichello,Jordan Peugeot,8,1:21.455
15,8,Eddie Irvine,Jordan Peugeot,54,1:21.541
28,9,Gerhard Berger,Ferrari,8,1:21.782
8,10,Mika Hakkinen,McLaren Mercedes,40,1:22.058
30,11,Heinz-Harald Frentzen,Sauber Ford,70,1:22.688
7,12,Mark Blundell,McLaren Mercedes,45,1:22.698
29,13,Jean-Christophe Boullion,Sauber Ford,46,1:22.866
2,14,Johnny Herbert,Benetton Renault,2,1:23.080
4,15,Mika Salo,Tyrrell Yamaha,50,1:23.711
9,16,Gianni Morbidelli,Footwork Hart,35,1:24.256
23,17,Pierluigi Martini,Minardi Ford,10,1:24.354
24,18,Luca Badoer,Minardi Ford,30,1:24.546
17,19,Andrea Montermini,Pacific Ilmor,39,1:24.812
16,20,Bertrand Gachot,Pacific Ilmor,7,1:26.158
22,21,Roberto Moreno,Forti Ford,7,1:26.748
