,Position,Driver,Car,Laps,Time,Points
2,1,Giancarlo Fisichella,Renault,56,1:30:40.529,10
1,2,Fernando Alonso,Renault,56,+4.585s,8
12,3,Jenson Button,Honda,56,+9.631s,6
4,4,Juan Pablo Montoya,McLaren Mercedes,56,+39.351s,5
6,5,Felipe Massa,Ferrari,56,+43.254s,4
5,6,Michael Schumacher,Ferrari,56,+43.854s,3
17,7,Jacques Villeneuve,Sauber BMW,56,+80.461s,2
7,8,Ralf Schumacher,Toyota,56,+81.288s,1
8,9,Jarno Trulli,Toyota,55,+1 lap,0
11,10,Rubens Barrichello,Honda,55,+1 lap,0
20,11,Vitantonio Liuzzi,STR Cosworth,54,+2 laps,0
19,12,Christijan Albers,MF1 Toyota,54,+2 laps,0
18,13,Tiago Monteiro,MF1 Toyota,54,+2 laps,0
22,14,Takuma Sato,Super Aguri Honda,53,+3 laps,0
16,NC,Nick Heidfeld,Sauber BMW,48,DNF,0
21,NC,Scott Speed,STR Cosworth,41,DNF,0
23,NC,Yuji Ide,Super Aguri Honda,33,DNF,0
15,NC,Christian Klien,RBR Ferrari,26,DNF,0
9,NC,Mark Webber,Williams Cosworth,15,DNF,0
14,NC,David Coulthard,RBR Ferrari,10,DNF,0
10,NC,Nico Rosberg,Williams Cosworth,6,DNF,0
3,NC,Kimi Räikkönen,McLaren Mercedes,0,DNF,0
