,Position,Driver,Car,Q1,Q2,Q3,Laps
2,1,Giancarlo Fisichella,Renault,1:35.488,1:33.623,1:33.840,22
12,2,Jenson Button,Honda,1:35.023,1:33.527,1:33.986,19
10,3,Nico Rosberg,Williams Cosworth,1:35.105,1:34.563,1:34.626,19
5,4,Michael Schumacher,Ferrari,1:35.810,1:34.574,1:34.668,23
9,5,Mark Webber,Williams Cosworth,1:35.252,1:34.279,1:34.672,18
4,6,Juan Pablo Montoya,McLaren Mercedes,1:34.536,1:34.568,1:34.916,18
3,7,Kimi Räikkönen,McLaren Mercedes,1:34.667,1:34.351,1:34.983,18
1,8,Fernando Alonso,Renault,1:35.514,1:33.997,1:35.747,22
15,9,Christian Klien,RBR Ferrari,1:35.171,1:34.537,1:38.715,16
7,10,Ralf Schumacher,Toyota,1:35.214,1:34.586,,10
14,11,David Coulthard,RBR Ferrari,1:34.839,1:34.614,,12
11,12,Rubens Barrichello,Honda,1:35.526,1:34.683,,14
8,13,Jarno Trulli,Toyota,1:35.517,1:34.702,,12
17,14,Jacques Villeneuve,Sauber BMW,1:35.391,1:34.752,,10
16,15,Nick Heidfeld,Sauber BMW,1:35.588,1:34.783,,10
6,16,Felipe Massa,Ferrari,1:35.091,,,3
21,17,Scott Speed,STR Cosworth,1:36.297,,,6
20,18,Vitantonio Liuzzi,STR Cosworth,1:36.581,,,7
19,19,Christijan Albers,MF1 Toyota,1:37.426,,,7
18,20,Tiago Monteiro,MF1 Toyota,1:37.819,,,6
22,21,Takuma Sato,Super Aguri Honda,1:39.011,,,6
23,22,Yuji Ide,Super Aguri Honda,1:40.720,,,6
