,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:23.148,27
10,2,Pierre Gasly,AlphaTauri Honda,+0.209s,27
33,3,Max Verstappen,Red Bull Racing Honda,+0.350s,20
44,4,Lewis Hamilton,Mercedes,+0.422s,25
4,5,Lando Norris,McLaren Mercedes,+0.484s,24
18,6,Lance Stroll,Aston Martin Mercedes,+0.557s,26
22,7,Yuki Tsunoda,AlphaTauri Honda,+0.587s,28
11,8,Sergio Perez,Red Bull Racing Honda,+0.639s,20
5,9,Sebastian Vettel,Aston Martin Mercedes,+0.872s,27
55,10,Carlos Sainz,Ferrari,+0.885s,28
31,11,Esteban Ocon,Alpine Renault,+0.893s,29
14,12,Fernando Alonso,Alpine Renault,+0.908s,25
16,13,Charles Leclerc,Ferrari,+0.947s,23
3,14,Daniel Ricciardo,McLaren Mercedes,+0.987s,24
7,15,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.483s,26
63,16,George Russell,Williams Mercedes,+1.806s,27
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.924s,23
6,18,Nicholas Latifi,Williams Mercedes,+2.061s,28
47,19,Mick Schumacher,Haas Ferrari,+2.427s,27
