,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:20.827
10,2,Pierre Gasly,AlphaTauri Honda,1:21.640
14,3,Fernando Alonso,Alpine Renault,1:21.670
4,4,Lando Norris,McLaren Mercedes,1:21.731
55,5,Carlos Sainz,Ferrari,1:21.840
77,6,Valtteri Bottas,Mercedes,1:21.478
33,7,Max Verstappen,Red Bull Racing Honda,1:21.424
22,8,Yuki Tsunoda,AlphaTauri Honda,1:21.881
31,9,Esteban Ocon,Alpine Renault,1:22.028
5,10,Sebastian Vettel,Aston Martin Mercedes,1:22.785
11,11,Sergio Perez,Red Bull Racing Honda,1:22.346
18,12,Lance Stroll,Aston Martin Mercedes,1:22.460
16,13,Charles Leclerc,Ferrari,1:22.463
3,14,Daniel Ricciardo,McLaren Mercedes,1:22.597
63,15,George Russell,Williams Mercedes,1:22.756
7,16,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:23.156
6,17,Nicholas Latifi,Williams Mercedes,1:23.213
99,18,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:23.262
47,19,Mick Schumacher,Haas Ferrari,1:23.407
9,20,Nikita Mazepin,Haas Ferrari,1:25.859
