,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,57,1:24:28.471,25
33,2,Max Verstappen,Red Bull Racing Honda,57,+25.743s,19
14,3,Fernando Alonso,Alpine Renault,57,+59.457s,15
11,4,Sergio Perez,Red Bull Racing Honda,57,+62.306s,12
31,5,Esteban Ocon,Alpine Renault,57,+80.570s,10
18,6,Lance Stroll,Aston Martin Mercedes,57,+81.274s,8
55,7,Carlos Sainz,Ferrari,57,+81.911s,6
16,8,Charles Leclerc,Ferrari,57,+83.126s,4
4,9,Lando Norris,McLaren Mercedes,56,+1 lap,2
5,10,Sebastian Vettel,Aston Martin Mercedes,56,+1 lap,1
10,11,Pierre Gasly,AlphaTauri Honda,56,+1 lap,0
3,12,Daniel Ricciardo,McLaren Mercedes,56,+1 lap,0
22,13,Yuki Tsunoda,AlphaTauri Honda,56,+1 lap,0
7,14,Kimi Räikkönen,Alfa Romeo Racing Ferrari,56,+1 lap,0
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,56,+1 lap,0
47,16,Mick Schumacher,Haas Ferrari,56,+1 lap,0
63,17,George Russell,Williams Mercedes,55,+2 laps,0
9,18,Nikita Mazepin,Haas Ferrari,55,+2 laps,0
6,NC,Nicholas Latifi,Williams Mercedes,50,DNF,0
77,NC,Valtteri Bottas,Mercedes,48,DNF,0
