,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
33,1,Max Verstappen,Red Bull Racing Honda,57,1:23.196,232.799,18:28:42
44,2,Lewis Hamilton,Mercedes,50,1:25.084,227.633,18:17:33
11,3,Sergio Perez,Red Bull Racing Honda,49,1:25.613,226.227,18:17:13
4,4,Lando Norris,McLaren Mercedes,51,1:25.746,225.876,18:20:30
63,5,George Russell,Williams Mercedes,55,1:25.768,225.818,18:28:35
7,6,Kimi Räikkönen,Alfa Romeo Racing Ferrari,53,1:26.358,224.275,18:23:57
5,7,Sebastian Vettel,Aston Martin Mercedes,53,1:26.434,224.078,18:23:22
16,8,Charles Leclerc,Ferrari,46,1:26.555,223.765,18:13:02
55,9,Carlos Sainz,Ferrari,46,1:26.570,223.726,18:13:00
14,10,Fernando Alonso,Alpine Renault,48,1:26.682,223.437,18:15:33
10,11,Pierre Gasly,AlphaTauri Honda,46,1:27.019,222.572,18:13:13
22,12,Yuki Tsunoda,AlphaTauri Honda,50,1:27.043,222.510,18:19:29
31,13,Esteban Ocon,Alpine Renault,46,1:27.061,222.464,18:12:55
3,14,Daniel Ricciardo,McLaren Mercedes,50,1:27.198,222.115,18:19:26
77,15,Valtteri Bottas,Mercedes,39,1:27.246,221.992,18:03:13
9,16,Nikita Mazepin,Haas Ferrari,55,1:27.340,221.754,18:28:57
18,17,Lance Stroll,Aston Martin Mercedes,44,1:27.356,221.713,18:10:01
99,18,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,40,1:27.823,220.534,18:04:59
47,19,Mick Schumacher,Haas Ferrari,46,1:28.412,219.065,18:13:53
6,20,Nicholas Latifi,Williams Mercedes,44,1:28.732,218.275,18:10:53
