,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:22.310,17
44,2,Lewis Hamilton,Mercedes,+0.078s,16
33,3,Max Verstappen,Red Bull Racing Honda,+0.341s,10
10,4,Pierre Gasly,AlphaTauri Honda,+0.525s,17
11,5,Sergio Perez,Red Bull Racing Honda,+0.536s,14
55,6,Carlos Sainz,Ferrari,+0.738s,17
14,7,Fernando Alonso,Alpine Renault,+0.876s,13
31,8,Esteban Ocon,Alpine Renault,+0.899s,18
16,9,Charles Leclerc,Ferrari,+0.966s,17
22,10,Yuki Tsunoda,AlphaTauri Honda,+1.257s,20
3,11,Daniel Ricciardo,McLaren Mercedes,+1.401s,14
5,12,Sebastian Vettel,Aston Martin Mercedes,+1.574s,17
4,13,Lando Norris,McLaren Mercedes,+1.585s,16
63,14,George Russell,Williams Mercedes,+1.613s,17
18,15,Lance Stroll,Aston Martin Mercedes,+1.844s,17
7,16,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.936s,19
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.978s,17
6,18,Nicholas Latifi,Williams Mercedes,+2.189s,15
47,19,Mick Schumacher,Haas Ferrari,+2.370s,20
9,20,Nikita Mazepin,Haas Ferrari,,1
