,Position,Driver,Car,Time / Gap,Laps
33,1,Max Verstappen,Red Bull Racing Honda,1:23.723,22
10,2,Pierre Gasly,AlphaTauri Honda,+0.437s,28
77,3,Valtteri Bottas,Mercedes,+0.471s,24
44,4,Lewis Hamilton,Mercedes,+0.786s,21
22,5,Yuki Tsunoda,AlphaTauri Honda,+0.925s,27
55,6,Carlos Sainz,Ferrari,+0.990s,26
16,7,Charles Leclerc,Ferrari,+1.067s,27
11,8,Sergio Perez,Red Bull Racing Honda,+1.192s,22
31,9,Esteban Ocon,Alpine Renault,+1.249s,23
4,10,Lando Norris,McLaren Mercedes,+1.492s,19
3,11,Daniel Ricciardo,McLaren Mercedes,+1.568s,24
5,12,Sebastian Vettel,Aston Martin Mercedes,+1.605s,19
6,13,Nicholas Latifi,Williams Mercedes,+1.965s,24
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+2.034s,23
7,15,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+2.105s,25
63,16,George Russell,Williams Mercedes,+2.148s,24
14,17,Fernando Alonso,Alpine Renault,+2.182s,21
47,18,Mick Schumacher,Haas Ferrari,+2.976s,21
18,19,Lance Stroll,Aston Martin Mercedes,+2.989s,11
9,20,Nikita Mazepin,Haas Ferrari,+3.777s,16
