,Position,Driver,Car,Laps,Time,Points
7,1,Jackie Stewart,Matra Ford,80,1:50:39.100,9
1,2,Graham Hill,Lotus Ford,80,+18.800s,6
5,3,Denny Hulme,McLaren Ford,80,+31.800s,4
4,4,Jo Siffert,Lotus Ford,80,+49.200s,3
6,5,Bruce McLaren,McLaren Ford,79,+1 lap,2
8,6,Jean-Pierre Beltoise,Matra Ford,78,+2 laps,1
11,7,Jackie Oliver,BRM,77,+3 laps,0
17,8,Sam Tingle,Brabham Repco,73,+7 laps,0
19,NC,Peter de Klerk,Brabham Repco,67,+13 laps,0
2,NC,Jochen Rindt,Lotus Ford,44,DNF,0
10,NC,John Surtees,BRM,40,DNF,0
12,NC,Pedro Rodriguez,BRM,38,DNF,0
9,NC,Chris Amon,Ferrari,34,DNF,0
14,NC,Jack Brabham,Brabham Ford,32,DNF,0
3,NC,Mario Andretti,Lotus Ford,31,DNF,0
16,NC,John Love,Lotus Ford,31,DNF,0
15,NC,Jacky Ickx,Brabham Ford,20,DNF,0
18,NC,Basil van Rooyen ,McLaren Ford,12,DNF,0
