,Position,Driver,Car,Lap,Time
5,1,Damon Hill,Williams Renault,55,1:21.363
1,2,Michael Schumacher,Ferrari,49,1:21.769
4,3,Gerhard Berger,Benetton Renault,8,1:22.004
7,4,Mika Hakkinen,McLaren Mercedes,36,1:22.078
6,5,Jacques Villeneuve,Williams Renault,45,1:22.090
11,6,Rubens Barrichello,Jordan Peugeot,55,1:22.472
8,7,David Coulthard,McLaren Mercedes,64,1:22.550
18,8,Ukyo Katayama,Tyrrell Yamaha,27,1:22.602
15,9,Heinz-Harald Frentzen,Sauber Ford,22,1:22.697
19,10,Mika Salo,Tyrrell Yamaha,31,1:22.791
12,11,Martin Brundle,Jordan Peugeot,51,1:22.815
14,12,Johnny Herbert,Sauber Ford,10,1:23.225
17,13,Jos Verstappen,Footwork Hart,15,1:23.233
10,14,Pedro Diniz,Ligier Mugen Honda,9,1:23.720
16,15,Ricardo Rosset,Footwork Hart,43,1:24.050
9,16,Olivier Panis,Ligier Mugen Honda,4,1:24.168
20,17,Pedro Lamy,Minardi Ford,14,1:24.369
2,18,Eddie Irvine,Ferrari,2,1:24.616
21,19,Giancarlo Fisichella,Minardi Ford,21,1:24.660
3,20,Jean Alesi,Benetton Renault,1,1:36.595
