,Position,Driver,Car,Time,Laps
5,1,Damon Hill,Williams Renault,1:18.941,9
6,2,Jacques Villeneuve,Williams Renault,1:19.721,12
1,3,Michael Schumacher,Ferrari,1:20.149,11
3,4,Jean Alesi,Benetton Renault,1:20.711,9
11,5,Rubens Barrichello,Jordan Peugeot,1:20.818,12
8,6,David Coulthard,McLaren Mercedes,1:20.888,12
2,7,Eddie Irvine,Ferrari,1:20.931,12
4,8,Gerhard Berger,Benetton Renault,1:21.054,12
7,9,Mika Hakkinen,McLaren Mercedes,1:21.078,11
15,10,Heinz-Harald Frentzen,Sauber Ford,1:21.113,12
12,11,Martin Brundle,Jordan Peugeot,1:21.177,11
14,12,Johnny Herbert,Sauber Ford,1:21.210,12
17,13,Jos Verstappen,Footwork Hart,1:21.367,12
19,14,Mika Salo,Tyrrell Yamaha,1:21.458,12
9,15,Olivier Panis,Ligier Mugen Honda,1:21.509,11
18,16,Ukyo Katayama,Tyrrell Yamaha,1:21.812,11
10,17,Pedro Diniz,Ligier Mugen Honda,1:22.733,12
21,18,Giancarlo Fisichella,Minardi Ford,1:22.921,11
20,19,Pedro Lamy,Minardi Ford,1:23.139,12
16,20,Ricardo Rosset,Footwork Hart,1:23.620,11
23,21,Andrea Montermini,Forti Ford,1:25.053,12
22,22,Luca Badoer,Forti Ford,1:25.840,12
