,Position,Driver,Car,Laps,Time,Points
6,1,Jacques Villeneuve,Williams Renault,67,1:33:26.473,10
1,2,Michael Schumacher,Ferrari,67,+0.762s,6
8,3,David Coulthard,McLaren Mercedes,67,+32.834s,4
5,4,Damon Hill,Williams Renault,67,+33.511s,3
11,5,Rubens Barrichello,Jordan Peugeot,67,+33.713s,2
12,6,Martin Brundle,Jordan Peugeot,67,+55.567s,1
14,7,Johnny Herbert,Sauber Ford,67,+78.027s,0
7,8,Mika Hakkinen,McLaren Mercedes,67,+78.438s,0
4,9,Gerhard Berger,Benetton Renault,67,+81.061s,0
10,10,Pedro Diniz,Ligier Mugen Honda,66,+1 lap,0
16,11,Ricardo Rosset,Footwork Hart,65,+2 laps,0
20,12,Pedro Lamy,Minardi Ford,65,+2 laps,0
21,13,Giancarlo Fisichella,Minardi Ford,65,+2 laps,0
15,NC,Heinz-Harald Frentzen,Sauber Ford,59,DNF,0
17,NC,Jos Verstappen,Footwork Hart,38,DNF,0
9,NC,Olivier Panis,Ligier Mugen Honda,6,DNF,0
2,NC,Eddie Irvine,Ferrari,6,DNF,0
3,NC,Jean Alesi,Benetton Renault,1,DNF,0
