,Position,Driver,Car,Time,Laps
9,1,Kimi Räikkönen,McLaren Mercedes,1:14.320,3
3,2,Jenson Button,BAR Honda,1:14.759,3
5,3,Fernando Alonso,Renault,1:14.904,3
6,4,Giancarlo Fisichella,Renault,1:14.927,3
1,5,Michael Schumacher,Ferrari,1:15.006,3
7,6,Mark Webber,Williams BMW,1:15.070,3
8,7,Nick Heidfeld,Williams BMW,1:15.403,3
4,8,Takuma Sato,BAR Honda,1:15.501,3
16,9,Jarno Trulli,Toyota,1:15.532,3
15,10,Christian Klien,RBR Cosworth,1:15.635,3
14,11,David Coulthard,RBR Cosworth,1:15.679,3
17,12,Ralf Schumacher,Toyota,1:15.689,3
12,13,Felipe Massa,Sauber Petronas,1:16.009,3
11,14,Jacques Villeneuve,Sauber Petronas,1:16.012,3
2,15,Rubens Barrichello,Ferrari,1:16.230,3
21,16,Christijan Albers,Minardi Cosworth,1:17.519,3
20,17,Robert Doornbos,Minardi Cosworth,1:18.313,3
18,18,Tiago Monteiro,Jordan Toyota,1:18.599,3
10,19,Juan Pablo Montoya,McLaren Mercedes,,2
19,20,Narain Karthikeyan,Jordan Toyota,,2
