,Position,Driver,Car,Laps,Time,Points
5,1,Mario Andretti,Lotus Ford,80,1:51:35.470,9
11,2,Niki Lauda,Ferrari,80,+0.773s,6
20,3,Jody Scheckter,Wolf Ford,80,+4.857s,4
4,4,Patrick Depailler,Tyrrell Ford,80,+74.487s,3
28,5,Emerson Fittipaldi,Fittipaldi Ford,80,+80.908s,2
34,6,Jean-Pierre Jarier,Penske Ford,79,+1 lap,1
1,7,James Hunt,McLaren Ford,79,+1 lap,0
6,8,Gunnar Nilsson,Lotus Ford,79,+1 lap,0
26,9,Jacques Laffite,Ligier Matra,78,DNF,0
10,10,Brian Henton,March Ford,77,+3 laps,0
18,11,Hans Binder,Surtees Ford,77,+3 laps,0
3,NC,Ronnie Peterson,Tyrrell Ford,62,DNF,0
22,NC,Clay Regazzoni,Ensign Ford,57,DNF,0
8,NC,Hans-Joachim Stuck,Brabham Alfa Romeo,53,DNF,0
17,NC,Alan  Jones,Shadow Ford,40,DNF,0
2,NC,Jochen Mass,McLaren Ford,39,DNF,0
7,DQ,John Watson,Brabham Alfa Romeo,33,DSQ,0
16,NC,Renzo Zorzi,Shadow Ford,27,DNF,0
9,NC,Alex Ribeiro,March Ford,15,DNF,0
12,NC,Carlos Reutemann,Ferrari,5,DNF,0
30,NC,Brett Lunger,March Ford,4,DNF,0
19,NC,Vittorio Brambilla,Surtees Ford,0,DNF,0
