,Position,Driver,Car,Laps,Time,Points
14,1,Bill  Vukovich ,Kurtis Kraft Offenhauser,200,3:49:17.270,8
9,2,Jimmy Bryan,Kuzma Offenhauser,200,+69.951s,6
2,3,Jack McGrath,Kurtis Kraft Offenhauser,200,OK,5
34,4,Duane Carter,Kurtis Kraft Offenhauser,,SHC,1.5
73,5,Mike Nazaruk,Kurtis Kraft Offenhauser,200,OK,2
77,6,Fred Agabashian,Kurtis Kraft Offenhauser,200,OK,0
7,7,Don  Freeland,Phillips Offenhauser,200,OK,0
5,8,Jerry  Hoyt,Kurtis Kraft Offenhauser,200,OK,0
28,9,Larry Crockett,Kurtis Kraft Offenhauser,200,OK,0
24,10,Cal  Niday,Stevens Offenhauser,200,OK,0
45,11,Jimmy Davies,Kurtis Kraft Offenhauser,200,OK,0
98,12,Walt  Faulkner,Kuzma Offenhauser,199,+1 lap,0
88,13,Manny Ayulo,Kuzma Offenhauser,197,+3 laps,0
17,14,Bob Sweikert,Kurtis Kraft Offenhauser,197,+3 laps,0
16,15,Marshall  Teague,Kurtis Kraft Offenhauser,,SHC,0
32,16,Ernie McCoy,Kurtis Kraft Offenhauser,194,+6 laps,0
25,17,Jimmy Reece,Pankratz Offenhauser,194,+6 laps,0
27,18,Bob Scott,Stevens Offenhauser,193,+7 laps,0
71,19,George Fonder,Kurtis Kraft Offenhauser,,SHC,0
1,20,Jim Rathmann,Kurtis Kraft Offenhauser,191,DNF,0
35,21,Pat  O'Connor,Kurtis Kraft Offenhauser,181,DNF,0
12,22,Eddie Johnson,Pawl Offenhauser,,SHC,0
31,23,Marshall  Teague,Kurtis Kraft Offenhauser,168,DNF,0
43,24,Bill Homeier,Nichels Offenhauser,165,DNF,0
74,25,Bob Scott,Schroeder Offenhauser,165,DNF,0
99,26,Jerry  Hoyt,Kurtis Kraft Offenhauser,130,DNF,0
19,27,Jimmy  Daywalt,Kurtis Kraft Offenhauser,111,DNF,0
38,28,Pat Flaherty,Kurtis Kraft Offenhauser,110,DNF,0
10,29,Tony  Bettenhausen,Kurtis Kraft Offenhauser,105,DNF,0
65,30,Danny Kladis,Bromme Offenhauser,104,DNF,0
33,31,George Fonder,Schroeder Offenhauser,101,DNF,0
15,32,Johnnie  Parsons,Kurtis Kraft Offenhauser,79,DNF,0
51,33,Bill Homeier,Kurtis Kraft Offenhauser,74,DNF,0
