,Position,Driver,Car,Time
2,1,Jack McGrath,Kurtis Kraft Offenhauser,4:15.260
19,2,Jimmy  Daywalt,Kurtis Kraft Offenhauser,4:17.530
9,3,Jimmy Bryan,Kuzma Offenhauser,4:17.760
43,4,Johnny Thomson,Stevens Offenhauser,4:19.390
98,5,Chuck  Stevenson,Kuzma Offenhauser,4:19.410
7,6,Don  Freeland,Phillips Offenhauser,4:20.230
25,7,Jimmy Reece,Pankratz Offenhauser,4:20.280
16,8,Duane Carter,Kurtis Kraft Offenhauser,4:20.420
17,9,Bob Sweikert,Kurtis Kraft Offenhauser,4:20.480
1,10,Sam Hanks,Kurtis Kraft Offenhauser,4:20.880
34,11,Troy Ruttman,Kurtis Kraft Offenhauser,4:21.370
35,12,Pat  O'Connor,Kurtis Kraft Offenhauser,4:20.710
24,13,Cal  Niday,Stevens Offenhauser,4:17.460
73,14,Mike Nazaruk,Kurtis Kraft Offenhauser,4:17.900
15,15,Johnnie  Parsons,Kurtis Kraft Offenhauser,4:17.920
12,16,Rodger Ward,Pawl Offenhauser,4:18.440
31,17,Gene Hartley,Kurtis Kraft Offenhauser,4:18.880
51,18,Bill Homeier,Kurtis Kraft Offenhauser,4:19.090
14,19,Bill  Vukovich ,Kurtis Kraft Offenhauser,4:19.970
32,20,Ernie McCoy,Kurtis Kraft Offenhauser,4:20.080
10,21,Tony  Bettenhausen,Kurtis Kraft Offenhauser,4:20.350
88,22,Manny Ayulo,Kuzma Offenhauser,4:20.560
74,23,Andy Linden,Schroeder Offenhauser,4:21.210
77,24,Fred Agabashian,Kurtis Kraft Offenhauser,4:21.350
28,25,Larry Crockett,Kurtis Kraft Offenhauser,4:17.960
33,26,Len Duncan,Schroeder Offenhauser,4:18.590
45,27,Art Cross,Kurtis Kraft Offenhauser,4:19.600
38,28,Jim Rathmann,Kurtis Kraft Offenhauser,4:20.440
65,29,Spider Webb,Bromme Offenhauser,4:20.910
99,30,Jerry  Hoyt,Kurtis Kraft Offenhauser,4:21.200
27,31,Ed  Elisian,Stevens Offenhauser,4:21.260
5,32,Paul Russo,Kurtis Kraft Offenhauser,4:21.480
71,33,Frank Armi,Kurtis Kraft Offenhauser,4:21.490
