,Position,Driver,Car,Time
5,1,Michael Schumacher,Benetton Ford,1:37.209
0,2,Damon Hill,Williams Renault,1:37.696
30,3,Heinz-Harald Frentzen,Sauber Mercedes,1:37.742
2,4,Nigel Mansell,Williams Renault,1:37.768
6,5,Johnny Herbert,Benetton Ford,1:37.828
15,6,Eddie Irvine,Jordan Hart,1:37.880
27,7,Jean Alesi,Ferrari,1:37.907
7,8,Mika Hakkinen,McLaren Peugeot,1:37.998
8,9,Martin Brundle,McLaren Peugeot,1:38.076
14,10,Rubens Barrichello,Jordan Hart,1:38.533
28,11,Gerhard Berger,Ferrari,1:38.570
10,12,Gianni Morbidelli,Footwork Ford,1:39.030
4,13,Mark Blundell,Tyrrell Yamaha,1:39.266
3,14,Ukyo Katayama,Tyrrell Yamaha,1:39.462
29,15,Jyrki Jarvilehto,Sauber Mercedes,1:39.483
23,16,Pierluigi Martini,Minardi Ford,1:39.548
12,17,Alessandro Zanardi,Lotus Mugen Honda,1:39.721
9,18,Christian Fittipaldi,Footwork Ford,1:39.868
26,19,Olivier Panis,Ligier Renault,1:40.042
25,20,Franck Lagorce,Ligier Renault,1:40.577
24,21,Michele Alboreto,Minardi Ford,1:40.652
20,22,Erik Comas,Larrousse Ford,1:40.978
19,23,Hideki Noda,Larrousse Ford,1:40.990
31,24,David Brabham,Simtek Ford,1:41.659
11,25,Mika Salo,Lotus Mugen Honda,1:41.805
32,26,Taki Inoue,Simtek Ford,1:45.004
