,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:11.500,17
33,2,Max Verstappen,Red Bull Racing Honda,+0.097s,18
55,3,Carlos Sainz,Ferrari,+0.101s,19
16,4,Charles Leclerc,Ferrari,+0.123s,18
77,5,Valtteri Bottas,Mercedes,+0.238s,18
14,6,Fernando Alonso,Alpine Renault,+0.658s,18
31,7,Esteban Ocon,Alpine Renault,+0.731s,17
99,8,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+0.859s,18
18,9,Lance Stroll,Aston Martin Mercedes,+0.931s,18
10,10,Pierre Gasly,AlphaTauri Honda,+1.015s,19
4,11,Lando Norris,McLaren Mercedes,+1.179s,18
6,12,Nicholas Latifi,Williams Mercedes,+1.407s,16
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.553s,20
3,14,Daniel Ricciardo,McLaren Mercedes,+1.581s,18
63,15,George Russell,Williams Mercedes,+1.681s,15
11,16,Sergio Perez,Red Bull Racing Honda,+1.828s,18
9,17,Nikita Mazepin,Haas Ferrari,+2.016s,14
47,18,Mick Schumacher,Haas Ferrari,+2.347s,17
5,19,Sebastian Vettel,Aston Martin Mercedes,+4.484s,6
22,20,Yuki Tsunoda,AlphaTauri Honda,,3
