,Position,Driver,Car,Time / Gap,Laps
16,1,Charles Leclerc,Ferrari,1:10.902,29
55,2,Carlos Sainz,Ferrari,+0.154s,28
31,3,Esteban Ocon,Alpine Renault,+0.172s,33
77,4,Valtteri Bottas,Mercedes,+0.230s,33
33,5,Max Verstappen,Red Bull Racing Honda,+0.362s,28
14,6,Fernando Alonso,Alpine Renault,+0.378s,30
10,7,Pierre Gasly,AlphaTauri Honda,+0.560s,29
4,8,Lando Norris,McLaren Mercedes,+0.586s,27
99,9,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+0.776s,30
5,10,Sebastian Vettel,Aston Martin Mercedes,+0.811s,24
44,11,Lewis Hamilton,Mercedes,+1.009s,3
11,12,Sergio Perez,Red Bull Racing Honda,+1.044s,27
22,13,Yuki Tsunoda,AlphaTauri Honda,+1.194s,31
18,14,Lance Stroll,Aston Martin Mercedes,+1.234s,29
3,15,Daniel Ricciardo,McLaren Mercedes,+1.255s,25
7,16,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.304s,31
47,17,Mick Schumacher,Haas Ferrari,+1.705s,31
6,18,Nicholas Latifi,Williams Mercedes,+1.708s,27
9,19,Nikita Mazepin,Haas Ferrari,+1.933s,12
63,20,George Russell,Williams Mercedes,+1.953s,30
