,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:14.121,1:13.076,1:12.812,21
6,2,Nico Rosberg,Mercedes,1:13.714,1:13.094,1:12.874,19
5,3,Sebastian Vettel,Ferrari,1:13.925,1:13.857,1:12.990,24
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:14.030,1:13.540,1:13.166,20
33,5,Max Verstappen,Red Bull Racing TAG Heuer,1:14.601,1:13.793,1:13.414,24
7,6,Kimi Räikkönen,Ferrari,1:14.477,1:13.849,1:13.579,23
77,7,Valtteri Bottas,Williams Mercedes,1:14.389,1:13.791,1:13.670,20
19,8,Felipe Massa,Williams Mercedes,1:14.815,1:13.864,1:13.769,21
27,9,Nico Hulkenberg,Force India Mercedes,1:14.663,1:14.166,1:13.952,23
14,10,Fernando Alonso,McLaren Honda,1:15.026,1:14.260,1:14.338,24
11,11,Sergio Perez,Force India Mercedes,1:14.814,1:14.317,,18
22,12,Jenson Button,McLaren Honda,1:14.755,1:14.437,,16
26,13,Daniil Kvyat,Toro Rosso Ferrari,1:14.829,1:14.457,,16
21,14,Esteban Gutierrez ,Haas Ferrari,1:15.148,1:14.571,,25
8,15,Romain Grosjean,Haas Ferrari,1:15.444,1:14.803,,24
55,16,Carlos Sainz,Toro Rosso Ferrari,1:14.714,1:21.956,,11
30,17,Jolyon Palmer,Renault,1:15.459,,,11
94,18,Pascal Wehrlein,MRT Mercedes,1:15.599,,,9
9,19,Marcus Ericsson,Sauber Ferrari,1:15.635,,,11
12,20,Felipe Nasr,Sauber Ferrari,1:16.663,,,9
88,21,Rio Haryanto,MRT Mercedes,1:17.052,,,9
