,Position,Driver,Car,Time
12,1,Alberto Ascari,Ferrari,2:05.700
16,2,Luigi  Villoresi,Ferrari,2:06.600
10,3,Nino Farina,Ferrari,2:07.000
4,4,Maurice  Trintignant,Gordini,2:07.200
26,5,Jose Froilan Gonzalez,Maserati,2:07.600
14,6,Piero  Taruffi,Ferrari,2:07.800
2,7,Robert  Manzon,Gordini,2:08.200
8,8,Andre  Simon,Ferrari,2:09.100
32,9,Stirling Moss,ERA Bristol,2:09.800
34,10,Elie Bayol,OSCA,2:10.600
6,11,Jean Behra,Gordini,2:10.800
42,12,Mike Hawthorn,Cooper Bristol,2:11.200
22,13,Felice  Bonetto,Maserati,2:11.600
18,14,Rudi  Fischer ,Ferrari,2:11.800
40,15,Ken  Wharton,Cooper Bristol,2:12.200
24,16,Franco  Rol,Maserati,2:12.700
62,17,Louis  Rosier,Ferrari,2:12.700
48,18,Chico Landi,Maserati,2:13.000
30,19,Dennis Poore,Connaught Lea Francis,2:14.000
36,20,Eric  Brandon,Cooper Bristol,2:14.000
38,21,Alan Brown,Cooper Bristol,2:15.000
28,22,Kenneth McAlpine,Connaught Lea Francis,2:15.100
50,23,Eitel Cantoni,Maserati,2:15.900
46,24,Gino Bianco,Maserati,2:17.100
