,Position,Driver,Car,Time
12,1,Ayrton Senna,McLaren Honda,1:44.596
11,2,Alain Prost,McLaren Honda,1:44.873
28,3,Gerhard Berger,Ferrari,1:46.115
27,4,Michele Alboreto,Ferrari,1:47.154
1,5,Nelson Piquet,Lotus Honda,1:47.681
19,6,Alessandro Nannini,Benetton Ford,1:48.208
16,7,Ivan Capelli,March Judd,1:48.703
2,8,Satoru Nakajima,Lotus Honda,1:48.781
20,9,Thierry Boutsen,Benetton Ford,1:48.837
15,10,Mauricio Gugelmin,March Judd,1:49.511
5,11,Nigel Mansell,Williams Judd,1:49.880
17,12,Derek Warwick,Arrows Megatron,1:50.459
6,13,Riccardo Patrese,Williams Judd,1:50.719
22,14,Andrea de Cesaris,Rial Ford,1:51.004
18,15,Eddie  Cheever,Arrows Megatron,1:51.171
14,16,Philippe Streiff,AGS Ford,1:51.642
25,17,Rene Arnoux,Ligier Judd,1:52.080
21,18,Nicola Larini,Osella,1:52.168
36,19,Alex Caffi,Dallara Ford,1:52.277
30,20,Philippe Alliot,Lola Ford,1:52.293
29,21,Yannick Dalmas,Lola Ford,1:52.436
10,22,Bernd Schneider,Zakspeed,1:52.664
9,23,Piercarlo Ghinzani,Zakspeed,1:52.674
3,24,Jonathan  Palmer,Tyrrell Ford,1:52.908
33,25,Stefano Modena,Euro Brun Ford,1:52.998
32,26,Oscar Larrauri,Euro Brun Ford,1:53.043
24,27,Luis Perez-Sala,Minardi Ford,1:53.356
26,28,Stefan Johansson,Ligier Judd,1:53.507
4,29,Julian Bailey,Tyrrell Ford,1:53.576
23,30,Pierluigi Martini,Minardi Ford,1:53.596
