,Position,Driver,Car,Time / Gap
12,1,Ayrton Senna,McLaren Honda,1:45.615
11,2,Alain Prost,McLaren Honda,+1.432s
28,3,Gerhard Berger,Ferrari,+2.224s
1,4,Nelson Piquet,Lotus Honda,+2.304s
27,5,Michele Alboreto,Ferrari,+3.447s
19,6,Alessandro Nannini,Benetton Ford,+4.199s
5,7,Nigel Mansell,Williams Judd,+4.450s
20,8,Thierry Boutsen,Benetton Ford,+4.454s
16,9,Ivan Capelli,March Judd,+4.884s
15,10,Mauricio Gugelmin,March Judd,+5.314s
6,11,Riccardo Patrese,Williams Judd,+5.363s
2,12,Satoru Nakajima,Lotus Honda,+5.830s
17,13,Derek Warwick,Arrows Megatron,+6.020s
18,14,Eddie  Cheever,Arrows Megatron,+6.034s
21,15,Nicola Larini,Osella,+6.706s
14,16,Philippe Streiff,AGS Ford,+6.728s
36,17,Alex Caffi,Dallara Ford,+7.416s
22,18,Andrea de Cesaris,Rial Ford,+7.477s
4,19,Julian Bailey,Tyrrell Ford,+7.765s
29,20,Yannick Dalmas,Lola Ford,+8.090s
30,21,Philippe Alliot,Lola Ford,+8.440s
23,22,Pierluigi Martini,Minardi Ford,+8.476s
32,23,Oscar Larrauri,Euro Brun Ford,+8.569s
33,24,Stefano Modena,Euro Brun Ford,+8.702s
31,25,Gabriele Tarquini,Coloni Ford,+8.743s
24,26,Luis Perez-Sala,Minardi Ford,+9.043s
9,27,Piercarlo Ghinzani,Zakspeed,+9.650s
26,28,Stefan Johansson,Ligier Judd,+9.688s
25,29,Rene Arnoux,Ligier Judd,+9.743s
3,30,Jonathan  Palmer,Tyrrell Ford,+9.955s
10,31,Bernd Schneider,Zakspeed,+10.873s
