,Position,Driver,Car,Time / Gap
12,1,Ayrton Senna,McLaren Honda,1:45.990
11,2,Alain Prost,McLaren Honda,+0.072s
27,3,Michele Alboreto,Ferrari,+2.690s
1,4,Nelson Piquet,Lotus Honda,+2.783s
15,5,Mauricio Gugelmin,March Judd,+3.619s
16,6,Ivan Capelli,March Judd,+3.851s
5,7,Nigel Mansell,Williams Judd,+3.994s
2,8,Satoru Nakajima,Lotus Honda,+4.102s
28,9,Gerhard Berger,Ferrari,+4.722s
18,10,Eddie  Cheever,Arrows Megatron,+5.710s
17,11,Derek Warwick,Arrows Megatron,+5.994s
14,12,Philippe Streiff,AGS Ford,+6.004s
22,13,Andrea de Cesaris,Rial Ford,+6.154s
30,14,Philippe Alliot,Lola Ford,+6.228s
25,15,Rene Arnoux,Ligier Judd,+6.307s
20,16,Thierry Boutsen,Benetton Ford,+6.375s
6,17,Riccardo Patrese,Williams Judd,+6.501s
10,18,Bernd Schneider,Zakspeed,+6.506s
36,19,Alex Caffi,Dallara Ford,+6.906s
9,20,Piercarlo Ghinzani,Zakspeed,+7.076s
21,21,Nicola Larini,Osella,+7.295s
29,22,Yannick Dalmas,Lola Ford,+7.320s
23,23,Pierluigi Martini,Minardi Ford,+7.440s
4,24,Julian Bailey,Tyrrell Ford,+7.501s
33,25,Stefano Modena,Euro Brun Ford,+7.633s
32,26,Oscar Larrauri,Euro Brun Ford,+7.851s
3,27,Jonathan  Palmer,Tyrrell Ford,+8.242s
24,28,Luis Perez-Sala,Minardi Ford,+8.981s
26,29,Stefan Johansson,Ligier Judd,+8.999s
19,30,Alessandro Nannini,Benetton Ford,+24.894s
