,Position,Driver,Car,Lap,Time
19,1,Alessandro Nannini,Benetton Ford,40,2:03.032
11,2,Alain Prost,McLaren Honda,21,2:04.888
12,3,Ayrton Senna,McLaren Honda,18,2:05.001
22,4,Andrea de Cesaris,Rial Ford,42,2:05.413
27,5,Michele Alboreto,Ferrari,11,2:05.704
28,6,Gerhard Berger,Ferrari,7,2:05.735
5,7,Nigel Mansell,Williams Judd,9,2:06.317
36,8,Alex Caffi,Dallara Ford,42,2:06.814
16,9,Ivan Capelli,March Judd,15,2:06.833
15,10,Mauricio Gugelmin,March Judd,10,2:06.946
2,11,Satoru Nakajima,Lotus Honda,43,2:07.242
20,12,Thierry Boutsen,Benetton Ford,12,2:07.273
18,13,Eddie  Cheever,Arrows Megatron,42,2:07.388
17,14,Derek Warwick,Arrows Megatron,43,2:07.545
6,15,Riccardo Patrese,Williams Judd,12,2:08.191
3,16,Jonathan  Palmer,Tyrrell Ford,41,2:08.507
14,17,Philippe Streiff,AGS Ford,33,2:08.812
10,18,Bernd Schneider,Zakspeed,43,2:09.142
29,19,Yannick Dalmas,Lola Ford,39,2:09.545
21,20,Nicola Larini,Osella,27,2:09.715
32,21,Oscar Larrauri,Euro Brun Ford,12,2:09.754
9,22,Piercarlo Ghinzani,Zakspeed,38,2:10.425
25,23,Rene Arnoux,Ligier Judd,12,2:11.241
30,24,Philippe Alliot,Lola Ford,7,2:11.403
33,25,Stefano Modena,Euro Brun Ford,10,2:13.447
1,26,Nelson Piquet,Lotus Honda,1,3:39.605
