,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:27.785,33
44,2,Lewis Hamilton,Mercedes,+0.100s,34
33,3,Max Verstappen,Red Bull Racing Honda,+0.281s,24
16,4,Charles Leclerc,Ferrari,+0.356s,28
5,5,Sebastian Vettel,Ferrari,+0.591s,37
23,6,Alexander Albon,Red Bull Racing Honda,+0.617s,34
55,7,Carlos Sainz,McLaren Renault,+1.266s,29
11,8,Sergio Perez,Racing Point BWT Mercedes,+1.514s,28
10,9,Pierre Gasly,Scuderia Toro Rosso Honda,+1.569s,34
4,10,Lando Norris,McLaren Renault,+1.573s,35
7,11,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.692s,29
26,12,Daniil Kvyat,Scuderia Toro Rosso Honda,+1.727s,35
8,13,Romain Grosjean,Haas Ferrari,+1.768s,28
18,14,Lance Stroll,Racing Point BWT Mercedes,+1.812s,27
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.866s,33
20,16,Kevin Magnussen,Haas Ferrari,+1.964s,31
3,17,Daniel Ricciardo,Renault,+2.074s,30
27,18,Nico Hulkenberg,Renault,+2.549s,29
88,19,Robert Kubica,Williams Mercedes,+3.131s,35
63,20,George Russell,Williams Mercedes,+3.286s,36
