,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:33.542,6
4,2,Ralf Schumacher,Williams BMW,1:34.032,6
14,3,Mark Webber,Jaguar Cosworth,1:34.571,6
10,4,Takuma Sato,BAR Honda,1:34.897,6
9,5,Jenson Button,BAR Honda,1:35.157,6
16,6,Jarno Trulli,Toyota,1:35.213,6
11,7,Giancarlo Fisichella,Sauber Petronas,1:36.136,6
5,8,David Coulthard,McLaren Mercedes,1:36.156,6
7,9,Jacques Villeneuve,Renault,1:36.274,6
17,10,Olivier Panis,Toyota,1:36.420,6
8,11,Fernando Alonso,Renault,1:36.663,6
6,12,Kimi Räikkönen,McLaren Mercedes,1:36.820,6
3,13,Juan Pablo Montoya,Williams BMW,1:37.653,6
15,14,Christian Klien,Jaguar Cosworth,1:38.258,6
2,15,Rubens Barrichello,Ferrari,1:38.637,6
18,16,Nick Heidfeld,Jordan Ford,1:41.953,6
19,17,Timo Glock,Jordan Ford,1:43.533,6
20,18,Gianmaria Bruni,Minardi Cosworth,1:48.069,6
12,19,Felipe Massa,Sauber Petronas,1:41.707,5
21,20,Zsolt Baumgartner,Minardi Cosworth,,2
