,Position,Driver,Car,Time / Gap,Laps
2,1,David Coulthard,McLaren Mercedes,1:38.109,29
3,2,Michael Schumacher,Ferrari,+0.094s,30
12,3,Alexander Wurz,Benetton Playlife,+0.209s,32
1,4,Mika Hakkinen,McLaren Mercedes,+0.239s,26
4,5,Rubens Barrichello,Ferrari,+0.846s,28
8,6,Johnny Herbert,Jaguar Cosworth,+0.998s,27
7,7,Eddie Irvine,Jaguar Cosworth,+1.001s,24
10,8,Jenson Button,Williams BMW,+1.121s,12
22,9,Jacques Villeneuve,BAR Honda,+1.228s,34
6,10,Jarno Trulli,Jordan Mugen Honda,+1.273s,31
9,11,Ralf Schumacher,Williams BMW,+1.321s,29
23,12,Ricardo Zonta,BAR Honda,+1.331s,32
15,13,Nick Heidfeld,Prost Peugeot,+1.685s,32
18,14,Pedro de la Rosa,Arrows Supertec,+1.689s,31
19,15,Jos Verstappen,Arrows Supertec,+1.703s,32
17,16,Mika Salo,Sauber Petronas,+1.730s,29
11,17,Giancarlo Fisichella,Benetton Playlife,+1.740s,20
16,18,Pedro Diniz,Sauber Petronas,+1.807s,30
14,19,Jean Alesi,Prost Peugeot,+1.879s,27
5,20,Heinz-Harald Frentzen,Jordan Mugen Honda,+2.442s,10
20,21,Marc Gene,Minardi Fondmetal,+3.697s,21
21,22,Gaston Mazzacane,Minardi Fondmetal,+4.261s,21
