,Position,Driver,Car,Laps,Time,Points
3,1,Michael Schumacher,Ferrari,56,1:35:54.235,10
2,2,David Coulthard,McLaren Mercedes,56,+0.732s,6
4,3,Rubens Barrichello,Ferrari,56,+18.444s,4
1,4,Mika Hakkinen,McLaren Mercedes,56,+35.269s,3
22,5,Jacques Villeneuve,BAR Honda,56,+70.692s,2
7,6,Eddie Irvine,Jaguar Cosworth,56,+72.568s,1
12,7,Alexander Wurz,Benetton Playlife,56,+89.314s,0
17,8,Mika Salo,Sauber Petronas,55,+1 lap,0
11,9,Giancarlo Fisichella,Benetton Playlife,55,+1 lap,0
19,10,Jos Verstappen,Arrows Supertec,55,+1 lap,0
14,11,Jean Alesi,Prost Peugeot,55,+1 lap,0
6,12,Jarno Trulli,Jordan Mugen Honda,55,+1 lap,0
21,13,Gaston Mazzacane,Minardi Fondmetal,50,DNF,0
8,NC,Johnny Herbert,Jaguar Cosworth,48,DNF,0
23,NC,Ricardo Zonta,BAR Honda,46,DNF,0
9,NC,Ralf Schumacher,Williams BMW,43,DNF,0
20,NC,Marc Gene,Minardi Fondmetal,36,DNF,0
10,NC,Jenson Button,Williams BMW,18,DNF,0
5,NC,Heinz-Harald Frentzen,Jordan Mugen Honda,7,DNF,0
18,NC,Pedro de la Rosa,Arrows Supertec,0,DNF,0
15,NC,Nick Heidfeld,Prost Peugeot,0,DNF,0
16,NC,Pedro Diniz,Sauber Petronas,0,DNF,0
