,Position,Driver,Car,Lap,Time
12,1,Ayrton Senna,McLaren Honda,59,1:26.321
11,2,Alain Prost,McLaren Honda,57,1:26.714
6,3,Riccardo Patrese,Williams Judd,75,1:28.411
29,4,Yannick Dalmas,Lola Ford,74,1:28.465
28,5,Gerhard Berger,Ferrari,56,1:28.899
27,6,Michele Alboreto,Ferrari,36,1:28.931
5,7,Nigel Mansell,Williams Judd,25,1:28.975
17,8,Derek Warwick,Arrows Megatron,38,1:29.618
16,9,Ivan Capelli,March Judd,25,1:29.642
19,10,Alessandro Nannini,Benetton Ford,13,1:29.693
20,11,Thierry Boutsen,Benetton Ford,62,1:29.831
15,12,Mauricio Gugelmin,March Judd,32,1:29.934
3,13,Jonathan  Palmer,Tyrrell Ford,34,1:30.171
24,14,Luis Perez-Sala,Minardi Ford,26,1:30.226
22,15,Andrea de Cesaris,Rial Ford,21,1:30.397
30,16,Philippe Alliot,Lola Ford,22,1:30.749
21,17,Nicola Larini,Osella,49,1:31.635
18,18,Eddie  Cheever,Arrows Megatron,7,1:31.757
9,19,Piercarlo Ghinzani,Zakspeed,41,1:32.308
32,20,Oscar Larrauri,Euro Brun Ford,7,1:32.320
25,21,Rene Arnoux,Ligier Judd,8,1:32.797
31,22,Gabriele Tarquini,Coloni Ford,4,1:33.570
26,23,Stefan Johansson,Ligier Judd,5,1:34.016
