,Position,Driver,Car,Time
12,1,Ayrton Senna,McLaren Honda,1:23.998
11,2,Alain Prost,McLaren Honda,1:25.425
28,3,Gerhard Berger,Ferrari,1:26.685
27,4,Michele Alboreto,Ferrari,1:27.297
5,5,Nigel Mansell,Williams Judd,1:27.665
19,6,Alessandro Nannini,Benetton Ford,1:27.869
17,7,Derek Warwick,Arrows Megatron,1:27.872
6,8,Riccardo Patrese,Williams Judd,1:28.016
18,9,Eddie  Cheever,Arrows Megatron,1:28.227
3,10,Jonathan  Palmer,Tyrrell Ford,1:28.358
1,11,Nelson Piquet,Lotus Honda,1:28.403
14,12,Philippe Streiff,AGS Ford,1:28.527
30,13,Philippe Alliot,Lola Ford,1:28.536
15,14,Mauricio Gugelmin,March Judd,1:28.610
24,15,Luis Perez-Sala,Minardi Ford,1:28.625
20,16,Thierry Boutsen,Benetton Ford,1:28.640
36,17,Alex Caffi,Dallara Ford,1:29.075
32,18,Oscar Larrauri,Euro Brun Ford,1:29.093
22,19,Andrea de Cesaris,Rial Ford,1:29.298
25,20,Rene Arnoux,Ligier Judd,1:29.480
29,21,Yannick Dalmas,Lola Ford,1:29.601
16,22,Ivan Capelli,March Judd,1:29.603
9,23,Piercarlo Ghinzani,Zakspeed,1:30.121
31,24,Gabriele Tarquini,Coloni Ford,1:30.252
21,25,Nicola Larini,Osella,1:30.335
26,26,Stefan Johansson,Ligier Judd,1:30.505
2,27,Satoru Nakajima,Lotus Honda,1:30.611
10,28,Bernd Schneider,Zakspeed,1:30.613
23,29,Adrian Campos,Minardi Ford,1:30.793
4,30,Julian Bailey,Tyrrell Ford,1:30.816
