,Position,Driver,Car,Time
5,1,Jackie Stewart,Tyrrell Ford,1:48.370
8,2,Jody Scheckter,McLaren Ford,1:49.180
1,3,Emerson Fittipaldi,Lotus Ford,1:49.360
6,4,Francois  Cevert ,Tyrrell Ford,1:49.390
2,5,Ronnie Peterson,Lotus Ford,1:49.450
7,6,Denny Hulme,McLaren Ford,1:49.680
14,7,Jean-Pierre Jarier,March Ford,1:50.690
10,8,Carlos Reutemann,Brabham Ford,1:50.750
19,9,Clay Regazzoni,BRM,1:50.990
4,10,Arturo Merzario,Ferrari,1:51.170
23,11,Mike Hailwood,Surtees Ford,1:51.170
3,12,Jacky Ickx,Ferrari,1:51.440
9,13,Andrea de Adamich ,Brabham Ford,1:51.530
27,14,James Hunt,March Ford,1:51.630
20,15,Jean-Pierre Beltoise,BRM,1:51.670
12,16,Graham Hill,Shadow Ford,1:51.700
21,17,Niki Lauda,BRM,1:51.780
24,18,Carlos Pace,Surtees Ford,1:51.880
11,19,Wilson Fittipaldi,Brabham Ford,1:52.070
16,20,George  Follmer ,Shadow Ford,1:52.300
17,21,Jackie Oliver,Shadow Ford,1:52.940
15,22,Reine   Wisell,March Ford,1:53.200
26,23,Henri Pescarolo,March Ford,1:53.560
25,24,Howden  Ganley ,Iso Marlboro Ford,1:53.870
29,25,Rikky von Opel,Ensign Ford,1:55.550
