,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:18.201,8
3,2,Mika Hakkinen,McLaren Mercedes,1:18.286,12
4,3,David Coulthard,McLaren Mercedes,1:18.635,12
2,4,Rubens Barrichello,Ferrari,1:18.674,11
5,5,Ralf Schumacher,Williams BMW,1:19.016,12
12,6,Jarno Trulli,Jordan Honda,1:19.093,12
10,7,Jacques Villeneuve,BAR Honda,1:19.122,10
11,8,Heinz-Harald Frentzen,Jordan Honda,1:19.150,12
17,9,Kimi Räikkönen,Sauber Petronas,1:19.229,12
16,10,Nick Heidfeld,Sauber Petronas,1:19.232,11
9,11,Olivier Panis,BAR Honda,1:19.479,11
6,12,Juan Pablo Montoya,Williams BMW,1:19.660,11
18,13,Eddie Irvine,Jaguar Cosworth,1:20.326,12
23,14,Luciano Burti,Prost Acer,1:20.585,12
22,15,Jean Alesi,Prost Acer,1:20.601,12
15,16,Enrique Bernoldi,Arrows Asiatech,1:20.696,12
14,17,Jos Verstappen,Arrows Asiatech,1:20.737,11
21,18,Fernando Alonso,Minardi European,1:21.037,12
7,19,Giancarlo Fisichella,Benetton Renault,1:21.065,12
19,20,Pedro de la Rosa,Jaguar Cosworth,1:21.338,10
8,21,Jenson Button,Benetton Renault,1:21.916,11
20,22,Tarso Marques,Minardi European,1:22.522,12
