,Position,Driver,Car,Lap,Time,Avg Speed
6,1,Kimi Räikkönen,McLaren Mercedes,14,1:32.621,200.092
4,2,Ralf Schumacher,Williams BMW,34,1:32.826,199.650
1,3,Michael Schumacher,Ferrari,34,1:32.904,199.483
3,4,Juan Pablo Montoya,Williams BMW,59,1:33.094,199.076
2,5,Rubens Barrichello,Ferrari,15,1:33.200,198.849
5,6,David Coulthard,McLaren Mercedes,12,1:33.236,198.773
8,7,Fernando Alonso,Renault,17,1:33.307,198.621
7,8,Jarno Trulli,Renault,13,1:33.348,198.534
21,9,Cristiano da Matta,Toyota,15,1:33.398,198.428
20,10,Olivier Panis,Toyota,8,1:33.583,198.035
10,11,Heinz-Harald Frentzen,Sauber Petronas,33,1:33.994,197.170
14,12,Mark Webber,Jaguar Cosworth,37,1:34.191,196.757
17,13,Jenson Button,BAR Honda,14,1:34.208,196.722
9,14,Nick Heidfeld,Sauber Petronas,23,1:34.541,196.029
11,15,Giancarlo Fisichella,Jordan Ford,29,1:34.656,195.791
15,16,Antonio Pizzonia,Jaguar Cosworth,47,1:34.915,195.256
16,17,Jacques Villeneuve,BAR Honda,45,1:35.100,194.876
12,18,Ralph Firman,Jordan Ford,29,1:35.328,194.410
18,19,Justin Wilson,Minardi Cosworth,19,1:36.709,191.634
19,20,Jos Verstappen,Minardi Cosworth,3,1:37.365,190.343
