,Position,Driver,Car,Time,Laps
6,1,Kimi Räikkönen,McLaren Mercedes,1:31.523,3
1,2,Michael Schumacher,Ferrari,1:31.555,3
4,3,Ralf Schumacher,Williams BMW,1:31.619,3
3,4,Juan Pablo Montoya,Williams BMW,1:31.765,3
2,5,Rubens Barrichello,Ferrari,1:31.780,3
7,6,Jarno Trulli,Renault,1:31.976,3
20,7,Olivier Panis,Toyota,1:32.350,3
8,8,Fernando Alonso,Renault,1:32.424,3
5,9,David Coulthard,McLaren Mercedes,1:32.742,3
21,10,Cristiano da Matta,Toyota,1:32.949,3
14,11,Mark Webber,Jaguar Cosworth,1:33.066,3
17,12,Jenson Button,BAR Honda,1:33.395,3
11,13,Giancarlo Fisichella,Jordan Ford,1:33.553,3
12,14,Ralph Firman,Jordan Ford,1:33.827,3
10,15,Heinz-Harald Frentzen,Sauber Petronas,1:34.000,3
15,16,Antonio Pizzonia,Jaguar Cosworth,1:34.159,3
16,17,Jacques Villeneuve,BAR Honda,1:34.596,3
19,18,Jos Verstappen,Minardi Cosworth,1:36.318,3
18,19,Justin Wilson,Minardi Cosworth,1:36.485,3
9,20,Nick Heidfeld,Sauber Petronas,,2
