,Position,Driver,Car,Time / Gap,Laps
20,1,Olivier Panis,Toyota,1:31.181,19
2,2,Rubens Barrichello,Ferrari,+0.858s,15
5,3,David Coulthard,McLaren Mercedes,+1.290s,14
3,4,Juan Pablo Montoya,Williams BMW,+1.296s,17
6,5,Kimi Räikkönen,McLaren Mercedes,+1.622s,17
1,6,Michael Schumacher,Ferrari,+1.671s,17
4,7,Ralf Schumacher,Williams BMW,+1.710s,18
15,8,Antonio Pizzonia,Jaguar Cosworth,+1.946s,15
21,9,Cristiano da Matta,Toyota,+1.959s,19
7,10,Jarno Trulli,Renault,+2.526s,15
16,11,Jacques Villeneuve,BAR Honda,+2.946s,18
8,12,Fernando Alonso,Renault,+2.998s,17
14,13,Mark Webber,Jaguar Cosworth,+3.383s,15
17,14,Jenson Button,BAR Honda,+3.401s,13
10,15,Heinz-Harald Frentzen,Sauber Petronas,+3.594s,13
9,16,Nick Heidfeld,Sauber Petronas,+3.603s,14
12,17,Ralph Firman,Jordan Ford,+3.786s,14
11,18,Giancarlo Fisichella,Jordan Ford,+4.151s,13
19,19,Jos Verstappen,Minardi Cosworth,+5.664s,9
18,20,Justin Wilson,Minardi Cosworth,+5.820s,13
