,Position,Driver,Car,Time / Gap
12,1,Ayrton Senna,McLaren Honda,1:08.216
11,2,Alain Prost,McLaren Honda,+0.066s
1,3,Nelson Piquet,Lotus Honda,+1.444s
20,4,Thierry Boutsen,Benetton Ford,+2.015s
5,5,Nigel Mansell,Williams Judd,+2.082s
2,6,Satoru Nakajima,Lotus Honda,+2.274s
28,7,Gerhard Berger,Ferrari,+2.523s
19,8,Alessandro Nannini,Benetton Ford,+2.595s
18,9,Eddie  Cheever,Arrows Megatron,+2.753s
22,10,Andrea de Cesaris,Rial Ford,+2.985s
17,11,Derek Warwick,Arrows Megatron,+2.986s
30,12,Philippe Alliot,Lola Ford,+3.413s
15,13,Mauricio Gugelmin,March Judd,+3.448s
6,14,Riccardo Patrese,Williams Judd,+3.743s
16,15,Ivan Capelli,March Judd,+3.891s
14,16,Philippe Streiff,AGS Ford,+3.979s
33,17,Stefano Modena,Euro Brun Ford,+4.023s
36,18,Alex Caffi,Dallara Ford,+4.090s
27,19,Michele Alboreto,Ferrari,+4.142s
23,20,Pierluigi Martini,Minardi Ford,+4.196s
21,21,Nicola Larini,Osella,+4.307s
25,22,Rene Arnoux,Ligier Judd,+4.398s
32,23,Oscar Larrauri,Euro Brun Ford,+4.532s
24,24,Luis Perez-Sala,Minardi Ford,+4.632s
29,25,Yannick Dalmas,Lola Ford,+4.733s
10,26,Bernd Schneider,Zakspeed,+4.822s
9,27,Piercarlo Ghinzani,Zakspeed,+4.849s
3,28,Jonathan  Palmer,Tyrrell Ford,+4.897s
26,29,Stefan Johansson,Ligier Judd,+4.917s
4,30,Julian Bailey,Tyrrell Ford,+5.056s
