,Position,Driver,Car,Time / Gap
11,1,Alain Prost,McLaren Honda,1:08.866
12,2,Ayrton Senna,McLaren Honda,+0.711s
28,3,Gerhard Berger,Ferrari,+0.807s
27,4,Michele Alboreto,Ferrari,+1.193s
1,5,Nelson Piquet,Lotus Honda,+1.633s
5,6,Nigel Mansell,Williams Judd,+2.418s
20,7,Thierry Boutsen,Benetton Ford,+2.824s
19,8,Alessandro Nannini,Benetton Ford,+2.913s
2,9,Satoru Nakajima,Lotus Honda,+2.941s
18,10,Eddie  Cheever,Arrows Megatron,+3.036s
17,11,Derek Warwick,Arrows Megatron,+3.355s
14,12,Philippe Streiff,AGS Ford,+3.378s
15,13,Mauricio Gugelmin,March Judd,+3.611s
6,14,Riccardo Patrese,Williams Judd,+3.619s
16,15,Ivan Capelli,March Judd,+3.699s
29,16,Yannick Dalmas,Lola Ford,+3.707s
30,17,Philippe Alliot,Lola Ford,+3.907s
33,18,Stefano Modena,Euro Brun Ford,+3.939s
36,19,Alex Caffi,Dallara Ford,+4.025s
22,20,Andrea de Cesaris,Rial Ford,+4.032s
25,21,Rene Arnoux,Ligier Judd,+4.262s
21,22,Nicola Larini,Osella,+4.321s
32,23,Oscar Larrauri,Euro Brun Ford,+4.586s
24,24,Luis Perez-Sala,Minardi Ford,+4.717s
3,25,Jonathan  Palmer,Tyrrell Ford,+4.819s
10,26,Bernd Schneider,Zakspeed,+5.049s
23,27,Pierluigi Martini,Minardi Ford,+5.091s
4,28,Julian Bailey,Tyrrell Ford,+5.188s
31,29,Gabriele Tarquini,Coloni Ford,+5.348s
26,30,Stefan Johansson,Ligier Judd,+5.714s
9,31,Piercarlo Ghinzani,Zakspeed,+6.414s
