,Position,Driver,Car,Time / Gap,Laps
33,1,Max Verstappen,Red Bull Racing TAG Heuer,1:44.410,19
3,2,Daniel Ricciardo,Red Bull Racing TAG Heuer,+0.470s,22
5,3,Sebastian Vettel,Ferrari,+0.557s,20
11,4,Sergio Perez,Force India Mercedes,+0.988s,16
44,5,Lewis Hamilton,Mercedes,+1.087s,16
77,6,Valtteri Bottas,Mercedes,+1.327s,19
31,7,Esteban Ocon,Force India Mercedes,+1.342s,24
19,8,Felipe Massa,Williams Mercedes,+1.558s,25
7,9,Kimi Räikkönen,Ferrari,+1.590s,18
26,10,Daniil Kvyat,Toro Rosso,+2.207s,11
18,11,Lance Stroll,Williams Mercedes,+2.239s,28
20,12,Kevin Magnussen,Haas Ferrari,+2.311s,23
8,13,Romain Grosjean,Haas Ferrari,+2.427s,22
27,14,Nico Hulkenberg,Renault,+2.807s,21
2,15,Stoffel Vandoorne,McLaren Honda,+3.036s,22
55,16,Carlos Sainz,Toro Rosso,+3.091s,13
14,17,Fernando Alonso,McLaren Honda,+3.141s,20
30,18,Jolyon Palmer,Renault,+4.115s,15
94,19,Pascal Wehrlein,Sauber Ferrari,+4.638s,19
9,20,Marcus Ericsson,Sauber Ferrari,+5.527s,21
