,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
5,1,Sebastian Vettel,Ferrari,47,1:43.441,208.919,19:00:47
44,2,Lewis Hamilton,Mercedes,46,1:43.469,208.862,18:59:05
77,3,Valtteri Bottas,Mercedes,51,1:43.925,207.946,19:07:41
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,46,1:44.882,206.048,18:58:48
18,5,Lance Stroll,Williams Mercedes,44,1:45.108,205.605,18:55:23
14,6,Fernando Alonso,McLaren Honda,49,1:45.168,205.488,19:04:57
7,7,Kimi Räikkönen,Ferrari,44,1:45.542,204.760,18:57:57
11,8,Sergio Perez,Force India Mercedes,37,1:45.588,204.670,18:45:25
31,9,Esteban Ocon,Force India Mercedes,39,1:45.634,204.581,18:46:50
55,10,Carlos Sainz,Toro Rosso,46,1:45.866,204.133,18:59:26
20,11,Kevin Magnussen,Haas Ferrari,45,1:46.312,203.277,18:57:35
33,12,Max Verstappen,Red Bull Racing TAG Heuer,10,1:46.398,203.112,17:21:43
2,13,Stoffel Vandoorne,McLaren Honda,45,1:46.648,202.636,18:58:24
8,14,Romain Grosjean,Haas Ferrari,45,1:46.831,202.289,18:58:45
94,15,Pascal Wehrlein,Sauber Ferrari,46,1:47.120,201.743,19:00:07
9,16,Marcus Ericsson,Sauber Ferrari,45,1:47.186,201.619,18:58:23
19,17,Felipe Massa,Williams Mercedes,10,1:47.340,201.330,17:21:50
26,18,Daniil Kvyat,Toro Rosso,9,1:48.394,199.372,17:20:20
27,19,Nico Hulkenberg,Renault,9,1:48.536,199.111,17:20:16
30,20,Jolyon Palmer,Renault,5,1:51.673,193.518,17:13:19
