,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:42.742,21
7,2,Kimi Räikkönen,Ferrari,+0.095s,14
44,3,Lewis Hamilton,Mercedes,+0.416s,23
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,+0.545s,24
31,5,Esteban Ocon,Force India Mercedes,+0.602s,21
33,6,Max Verstappen,Red Bull Racing TAG Heuer,+0.872s,16
19,7,Felipe Massa,Williams Mercedes,+0.996s,18
26,8,Daniil Kvyat,Toro Rosso,+1.166s,21
18,9,Lance Stroll,Williams Mercedes,+1.298s,17
11,10,Sergio Perez,Force India Mercedes,+1.396s,22
27,11,Nico Hulkenberg,Renault,+1.570s,16
5,12,Sebastian Vettel,Ferrari,+1.602s,7
55,13,Carlos Sainz,Toro Rosso,+1.659s,23
14,14,Fernando Alonso,McLaren Honda,+1.999s,18
20,15,Kevin Magnussen,Haas Ferrari,+2.184s,20
2,16,Stoffel Vandoorne,McLaren Honda,+2.401s,17
8,17,Romain Grosjean,Haas Ferrari,+2.749s,20
9,18,Marcus Ericsson,Sauber Ferrari,+2.903s,21
94,19,Pascal Wehrlein,Sauber Ferrari,+2.980s,19
30,20,Jolyon Palmer,Renault,+10.298s,4
