,Position,Driver,Car,Time / Gap,Laps
33,1,Max Verstappen,Red Bull Racing TAG Heuer,1:43.362,36
77,2,Valtteri Bottas,Mercedes,+0.100s,32
3,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,+0.111s,34
7,4,Kimi Räikkönen,Ferrari,+0.127s,35
5,5,Sebastian Vettel,Ferrari,+0.253s,35
18,6,Lance Stroll,Williams Mercedes,+0.751s,27
11,7,Sergio Perez,Force India Mercedes,+0.944s,34
26,8,Daniil Kvyat,Toro Rosso,+0.959s,27
31,9,Esteban Ocon,Force India Mercedes,+1.122s,37
44,10,Lewis Hamilton,Mercedes,+1.163s,23
19,11,Felipe Massa,Williams Mercedes,+1.247s,33
14,12,Fernando Alonso,McLaren Honda,+2.153s,15
55,13,Carlos Sainz,Toro Rosso,+2.371s,34
20,14,Kevin Magnussen,Haas Ferrari,+2.469s,33
27,15,Nico Hulkenberg,Renault,+2.641s,29
30,16,Jolyon Palmer,Renault,+2.699s,17
2,17,Stoffel Vandoorne,McLaren Honda,+2.812s,28
94,18,Pascal Wehrlein,Sauber Ferrari,+3.788s,25
9,19,Marcus Ericsson,Sauber Ferrari,+3.985s,25
8,20,Romain Grosjean,Haas Ferrari,+4.360s,22
