,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:41.983,1:41.275,1:40.593,20
77,2,Valtteri Bottas,Mercedes,1:43.026,1:41.502,1:41.027,23
7,3,Kimi Räikkönen,Ferrari,1:42.678,1:42.090,1:41.693,23
5,4,Sebastian Vettel,Ferrari,1:42.952,1:41.911,1:41.841,23
33,5,Max Verstappen,Red Bull Racing TAG Heuer,1:42.544,1:41.961,1:41.879,22
11,6,Sergio Perez,Force India Mercedes,1:43.162,1:42.467,1:42.111,21
31,7,Esteban Ocon,Force India Mercedes,1:43.051,1:42.751,1:42.186,21
18,8,Lance Stroll,Williams Mercedes,1:43.613,1:42.284,1:42.753,21
19,9,Felipe Massa,Williams Mercedes,1:43.165,1:42.735,1:42.798,22
3,10,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:42.857,1:42.215,1:43.414,20
26,11,Daniil Kvyat,Toro Rosso,1:42.927,1:43.186,,19
55,12,Carlos Sainz,Toro Rosso,1:43.489,1:43.347,,20
20,13,Kevin Magnussen,Haas Ferrari,1:44.029,1:43.796,,18
27,14,Nico Hulkenberg,Renault,1:43.930,1:44.267,,12
94,15,Pascal Wehrlein,Sauber Ferrari,1:44.317,1:44.603,,18
14,16,Fernando Alonso,McLaren Honda,1:44.334,,,9
8,17,Romain Grosjean,Haas Ferrari,1:44.468,,,10
9,18,Marcus Ericsson,Sauber Ferrari,1:44.795,,,10
2,19,Stoffel Vandoorne,McLaren Honda,1:45.030,,,8
