,Position,Driver,Car,Time
6,1,Nelson Piquet,Williams Honda,1:07.110
5,2,Nigel Mansell,Williams Honda,1:07.180
12,3,Ayrton Senna,Lotus Honda,1:08.181
1,4,Alain Prost,McLaren TAG,1:08.577
20,5,Thierry Boutsen,Benetton Ford,1:08.972
19,6,Teo Fabi,Benetton Ford,1:09.246
27,7,Michele Alboreto,Ferrari,1:09.274
28,8,Gerhard Berger,Ferrari,1:09.408
8,9,Andrea de Cesaris,Brabham BMW,1:09.475
2,10,Stefan Johansson,McLaren TAG,1:09.541
7,11,Riccardo Patrese,Brabham BMW,1:10.012
11,12,Satoru Nakajima,Lotus Honda,1:10.619
17,13,Derek Warwick,Arrows Megatron,1:10.654
18,14,Eddie  Cheever,Arrows Megatron,1:11.053
24,15,Alessandro Nannini,Minardi Motori Moderni,1:12.293
25,16,Rene Arnoux,Ligier Megatron,1:12.402
9,17,Martin Brundle,Zakspeed,1:12.632
10,18,Christian Danner,Zakspeed,1:13.337
26,19,Piercarlo Ghinzani,Ligier Megatron,1:13.381
23,20,Adrian Campos,Minardi Motori Moderni,1:13.793
21,21,Alex Caffi,Osella Alfa Romeo,1:15.558
30,22,Philippe Alliot,Lola Ford,1:15.868
4,23,Philippe Streiff,Tyrrell Ford,1:16.524
3,24,Jonathan  Palmer,Tyrrell Ford,1:16.644
16,25,Ivan Capelli,March Ford,1:16.692
14,26,Pascal Fabre,AGS Ford,1:18.237
