,Position,Driver,Car,Time / Gap,Laps
6,1,Kimi Räikkönen,Ferrari,1:20.639,35
5,2,Felipe Massa,Ferrari,+0.499s,30
11,3,Ralf Schumacher,Toyota,+0.742s,34
2,4,Lewis Hamilton,McLaren Mercedes,+0.742s,39
12,5,Jarno Trulli,Toyota,+0.828s,35
1,6,Fernando Alonso,McLaren Mercedes,+0.977s,35
16,7,Nico Rosberg,Williams Toyota,+0.980s,40
17,8,Alexander Wurz,Williams Toyota,+1.011s,37
15,9,Mark Webber,Red Bull Renault,+1.498s,31
23,10,Anthony Davidson,Super Aguri Honda,+1.504s,40
4,11,Heikki Kovalainen,Renault,+1.550s,42
3,12,Giancarlo Fisichella,Renault,+1.618s,39
10,13,Robert Kubica,Sauber BMW,+1.733s,41
14,14,David Coulthard,Red Bull Renault,+1.789s,23
9,15,Nick Heidfeld,Sauber BMW,+1.847s,34
22,16,Takuma Sato,Super Aguri Honda,+1.848s,38
8,17,Rubens Barrichello,Honda,+1.872s,39
34,18,Christian Klien,Honda,+2.194s,45
19,19,Scott Speed,STR Ferrari,+2.201s,42
18,20,Vitantonio Liuzzi,STR Ferrari,+2.466s,35
21,21,Christijan Albers,Spyker Ferrari,+2.474s,35
20,22,Adrian Sutil,Spyker Ferrari,+3.081s,30
